Source,Target,board_size_source,board_size_target,shared_members,Year
Cornell University,New School,51,58,0.009259259259259259,2008
Georgetown University,New York University,41,49,0.011235955056179775,2008
New School,New York University,58,49,0.009433962264150943,2008
Columbia University,New York University,74,49,0.00819672131147541,2008
Brandeis University,New York University,48,49,0.010416666666666666,2008
Arizona State University,Northern Arizona University,13,13,1.0,2008
Loyola University Chicago,Northwestern University,38,73,0.00909090909090909,2008
Georgetown University,Pepperdine University,41,39,0.012658227848101266,2008
Clarkson University,Polytechnic University,29,40,0.014705882352941176,2008
New School,Princeton University,58,41,0.01020408163265306,2008
Baylor College Of Medicine,Rice University,47,25,0.014084507042253521,2008
Gallaudet University,Rochester Institute Of Technology,22,53,0.013513513513513514,2008
Brandeis University,Rockefeller University,48,37,0.011904761904761904,2008
Brown University,Rockefeller University,51,37,0.011494252873563218,2008
Massachusetts Institute Of Technology,Rockefeller University,51,37,0.011494252873563218,2008
Johns Hopkins University,Rockefeller University,67,37,0.009708737864077669,2008
Dartmouth College,Rockefeller University,18,37,0.018518518518518517,2008
Georgetown University,Saint Louis University,41,42,0.012195121951219513,2008
Catholic University Of America,Seton Hall University,50,40,0.011235955056179775,2008
Baylor College Of Medicine,Southern Methodist University,47,42,0.011363636363636364,2008
Rensselaer Polytechnic Institute,St Johns University,32,25,0.017857142857142856,2008
Rice University,Stanford University,25,35,0.01694915254237288,2008
Rochester Institute Of Technology,Syracuse University,53,29,0.012345679012345678,2008
Syracuse University,Temple University,29,35,0.015873015873015872,2008
Middle Tennessee State University,Tennessee State University,14,14,0.8666666666666667,2008
East Tennessee State University,Tennessee State University,14,14,1.0,2008
Middle Tennessee State University,Tennessee Technological University,14,14,0.8666666666666667,2008
Tennessee State University,Tennessee Technological University,14,14,1.0,2008
East Tennessee State University,Tennessee Technological University,14,14,1.0,2008
Pennsylvania State University,Thomas Jefferson University,33,41,0.0136986301369863,2008
Drexel University,Thomas Jefferson University,39,41,0.012658227848101266,2008
Brown University,Tufts University,51,40,0.011111111111111112,2008
Northern Arizona University,University Of Arizona,13,13,1.0,2008
Arizona State University,University Of Arizona,13,13,1.0,2008
Tufts University,University Of Chicago,40,49,0.011363636363636364,2008
Carnegie Mellon University,University Of Chicago,100,49,0.006756756756756757,2008
Illinois Institute Of Technology,University Of Chicago,46,49,0.010638297872340425,2008
Princeton University,University Of Chicago,41,49,0.011235955056179775,2008
Johns Hopkins University,University Of Chicago,67,49,0.008695652173913044,2008
Duke University,University Of Chicago,39,49,0.011494252873563218,2008
Illinois Institute Of Technology,University Of Connecticut,46,21,0.015151515151515152,2008
Idaho State University,University Of Idaho,6,2,0.3333333333333333,2008
Boise State University,University Of Idaho,7,2,0.2857142857142857,2008
Iowa State University,University Of Iowa,9,9,1.0,2008
Kansas State University,University Of Kansas,10,10,1.0,2008
Tennessee Technological University,University Of Memphis,14,14,1.0,2008
Middle Tennessee State University,University Of Memphis,14,14,0.8666666666666667,2008
Tennessee State University,University Of Memphis,14,14,1.0,2008
East Tennessee State University,University Of Memphis,14,14,1.0,2008
Tufts University,University Of New Mexico,40,8,0.02127659574468085,2008
Depaul University,University Of North Carolina At Charlotte,38,13,0.02,2008
Creighton University,University Of Notre Dame,36,55,0.011111111111111112,2008
New Jersey Institute Of Technology,University Of Notre Dame,50,55,0.009615384615384616,2008
Oklahoma State University,University Of Oklahoma,16,14,0.30434782608695654,2008
Pennsylvania State University,University Of Pennsylvania,33,54,0.011627906976744186,2008
University Of Pennsylvania,University Of Pittsburgh,54,55,0.009259259259259259,2008
Pennsylvania State University,University Of Pittsburgh,33,55,0.023255813953488372,2008
Carnegie Mellon University,University Of Pittsburgh,100,55,0.013071895424836602,2008
Chapman University,University Of San Diego,48,41,0.011363636363636364,2008
Auburn University,University Of South Alabama,24,16,0.02564102564102564,2008
South Dakota State University,University Of South Dakota,10,10,1.0,2008
California Institute Of Technology,University Of Southern California,60,53,0.008928571428571428,2008
Cornell University,University Of Southern California,51,53,0.009708737864077669,2008
Catholic University Of America,University Of St Thomas Minnesota,50,41,0.011111111111111112,2008
Seton Hall University,University Of St Thomas Minnesota,40,41,0.0125,2008
Georgetown University,University Of St Thomas Minnesota,41,41,0.012345679012345678,2008
Cornell University,University Of Tulsa,51,39,0.011235955056179775,2008
University Of Utah,Utah State University,30,30,0.42857142857142855,2008
New York University,Vanderbilt University,49,60,0.009259259259259259,2008
University Of St Thomas Minnesota,Vanderbilt University,41,60,0.01,2008
University Of North Carolina At Charlotte,Wake Forest University,13,46,0.017241379310344827,2008
Indiana University Of Pennsylvania,West Chester University Of Pennsylvania,10,12,0.047619047619047616,2008
University Of Kansas,Wichita State University,10,10,0.6666666666666666,2008
Kansas State University,Wichita State University,10,10,0.6666666666666666,2008
Boston College,Worcester Polytechnic Institute,45,36,0.0125,2008
Massachusetts Institute Of Technology,Yale University,51,20,0.014285714285714285,2008
University Of Connecticut,Yale University,21,20,0.025,2008
Johns Hopkins University,Yeshiva University,67,92,0.006329113924050633,2008
Fordham University,Yeshiva University,39,92,0.007692307692307693,2008
Rockefeller University,Yeshiva University,37,92,0.0078125,2008
Columbia University,Yeshiva University,74,92,0.006060606060606061,2008
California Institute Of Technology,Harvard University,60,36,0.010526315789473684,2008
Johns Hopkins University,Loyola Marymount University,67,92,0.006329113924050633,2008
Loyola Marymount University,University Of Notre Dame,92,55,0.00684931506849315,2008
Boston College,Loyola Marymount University,45,92,0.007352941176470588,2008
Loyola Marymount University,University Of Southern California,92,53,0.013986013986013986,2008
Loyola Marymount University,University Of San Diego,92,41,0.007575757575757576,2008
Columbia University,New Jersey Institute Of Technology,74,50,0.008130081300813009,2008
New Jersey Institute Of Technology,Princeton University,50,41,0.011111111111111112,2008
Hofstra University,Yeshiva University,26,92,0.008547008547008548,2008
California Institute Of Technology,Chapman University,51,49,0.010101010101010102,2009
Brandeis University,Columbia University,44,54,0.010309278350515464,2009
Fordham University,Georgetown University,39,43,0.025,2009
Boston College,Georgetown University,46,43,0.011363636363636364,2009
Duke University,Johns Hopkins University,37,67,0.009708737864077669,2009
Andrews University,Loma Linda University,38,20,0.09433962264150944,2009
Boston College,Loyola Marymount University,46,88,0.007518796992481203,2009
Georgetown University,Loyola University Chicago,43,45,0.011494252873563218,2009
Boston College,Loyola University Chicago,46,45,0.011111111111111112,2009
Fordham University,Loyola University Chicago,39,45,0.012048192771084338,2009
Boston College,Marquette University,46,33,0.01282051282051282,2009
Loyola University Chicago,Marquette University,45,33,0.012987012987012988,2009
California Institute Of Technology,Massachusetts Institute Of Technology,51,50,0.01,2009
Howard University,Massachusetts Institute Of Technology,33,50,0.012195121951219513,2009
Cornell University,Massachusetts Institute Of Technology,47,50,0.010416666666666666,2009
Florida State University,Mercer University,13,41,0.018867924528301886,2009
East Tennessee State University,Middle Tennessee State University,18,17,0.8421052631578947,2009
Massachusetts Institute Of Technology,New School,50,58,0.009345794392523364,2009
Cornell University,New School,47,58,0.009615384615384616,2009
Florida State University,New School,13,58,0.014285714285714285,2009
Brandeis University,New York University,44,52,0.010526315789473684,2009
Georgetown University,New York University,43,52,0.010638297872340425,2009
New School,New York University,58,52,0.009174311926605505,2009
Indiana University Of Pennsylvania,North Dakota State University,10,6,0.06666666666666667,2009
Arizona State University,Northern Arizona University,12,12,1.0,2009
Loyola University Chicago,Northwestern University,45,73,0.008547008547008548,2009
Brandeis University,Ohio State University,44,19,0.016129032258064516,2009
California Institute Of Technology,Princeton University,51,41,0.01098901098901099,2009
Baylor College Of Medicine,Rice University,46,24,0.014492753623188406,2009
Brandeis University,Rockefeller University,44,39,0.012195121951219513,2009
Brown University,Rockefeller University,59,39,0.010309278350515464,2009
Massachusetts Institute Of Technology,Rockefeller University,50,39,0.011363636363636364,2009
Johns Hopkins University,Rockefeller University,67,39,0.009523809523809525,2009
Georgetown University,Saint Louis University,43,49,0.01098901098901099,2009
Catholic University Of America,Seton Hall University,50,43,0.02197802197802198,2009
Rensselaer Polytechnic Institute,St Johns University,32,29,0.016666666666666666,2009
Catholic University Of America,St Johns University,50,29,0.01282051282051282,2009
Rockefeller University,Stanford University,39,31,0.014492753623188406,2009
Rice University,Stanford University,24,31,0.018518518518518517,2009
Rochester Institute Of Technology,Syracuse University,49,72,0.008333333333333333,2009
Syracuse University,Temple University,72,32,0.009708737864077669,2009
Middle Tennessee State University,Tennessee State University,17,17,0.8888888888888888,2009
East Tennessee State University,Tennessee State University,18,17,0.8421052631578947,2009
Middle Tennessee State University,Tennessee Technological University,17,18,0.8421052631578947,2009
Tennessee State University,Tennessee Technological University,17,18,0.8421052631578947,2009
East Tennessee State University,Tennessee Technological University,18,18,0.8,2009
Pennsylvania State University,Thomas Jefferson University,33,32,0.015625,2009
Drexel University,Thomas Jefferson University,33,32,0.015625,2009
Brown University,Tufts University,59,43,0.009900990099009901,2009
Northern Arizona University,University Of Arizona,12,12,0.8461538461538461,2009
Arizona State University,University Of Arizona,12,12,0.8461538461538461,2009
Tufts University,University Of Chicago,43,49,0.01098901098901099,2009
Johns Hopkins University,University Of Chicago,67,49,0.008695652173913044,2009
Duke University,University Of Chicago,37,49,0.011764705882352941,2009
Illinois Institute Of Technology,University Of Chicago,44,49,0.010869565217391304,2009
Princeton University,University Of Chicago,41,49,0.011235955056179775,2009
Illinois Institute Of Technology,University Of Connecticut,44,21,0.015625,2009
Idaho State University,University Of Idaho,7,10,0.7,2009
Iowa State University,University Of Iowa,9,8,0.7,2009
Kansas State University,University Of Kansas,10,10,1.0,2009
Tennessee Technological University,University Of Memphis,18,12,0.6666666666666666,2009
Middle Tennessee State University,University Of Memphis,17,12,0.7058823529411765,2009
Tennessee State University,University Of Memphis,17,12,0.6111111111111112,2009
East Tennessee State University,University Of Memphis,18,12,0.5789473684210527,2009
Tufts University,University Of New Mexico,43,8,0.02,2009
Creighton University,University Of Notre Dame,36,54,0.011235955056179775,2009
Oklahoma State University,University Of Oklahoma,15,14,0.3181818181818182,2009
Pennsylvania State University,University Of Pennsylvania,33,56,0.011363636363636364,2009
Rockefeller University,University Of Pennsylvania,39,56,0.010638297872340425,2009
Carnegie Mellon University,University Of Pittsburgh,39,51,0.022727272727272728,2009
University Of Pennsylvania,University Of Pittsburgh,56,51,0.009433962264150943,2009
Pennsylvania State University,University Of Pittsburgh,33,51,0.024390243902439025,2009
South Dakota State University,University Of South Dakota,10,10,1.0,2009
Cornell University,University Of Southern California,47,52,0.01020408163265306,2009
California Institute Of Technology,University Of Southern California,51,52,0.00980392156862745,2009
Georgetown University,University Of St Thomas Minnesota,43,40,0.012195121951219513,2009
Catholic University Of America,University Of St Thomas Minnesota,50,40,0.011235955056179775,2009
Seton Hall University,University Of St Thomas Minnesota,43,40,0.012195121951219513,2009
University Of Utah,Utah State University,29,28,0.425,2009
New York University,Vanderbilt University,52,55,0.009433962264150943,2009
University Of St Thomas Minnesota,Vanderbilt University,40,55,0.010638297872340425,2009
University Of Kansas,Wichita State University,10,10,1.0,2009
Kansas State University,Wichita State University,10,10,1.0,2009
University Of Connecticut,Yale University,21,18,0.02631578947368421,2009
Massachusetts Institute Of Technology,Yale University,50,18,0.014925373134328358,2009
Columbia University,Yeshiva University,54,44,0.010309278350515464,2009
Hofstra University,Yeshiva University,30,44,0.0136986301369863,2009
Brown University,Howard University,59,33,0.01098901098901099,2009
California Institute Of Technology,Harvard University,51,36,0.011627906976744186,2009
Johns Hopkins University,Loyola Marymount University,67,88,0.006493506493506494,2009
Loyola Marymount University,University Of Notre Dame,88,54,0.0070921985815602835,2009
Loyola Marymount University,University Of Southern California,88,52,0.021897810218978103,2009
Loyola Marymount University,University Of San Diego,88,41,0.0078125,2009
Columbia University,New Jersey Institute Of Technology,54,46,0.010101010101010102,2009
New Jersey Institute Of Technology,Princeton University,46,41,0.011627906976744186,2009
Baylor College Of Medicine,Baylor University,41,21,0.01639344262295082,2011
Brandeis University,Cornell University,47,54,0.01,2011
Clark Atlanta University,Emory University,26,41,0.015151515151515152,2011
Catholic University Of America,Fordham University,47,47,0.010752688172043012,2011
Boston College,Fordham University,71,47,0.008547008547008548,2011
California Institute Of Technology,Harvard University,56,37,0.010869565217391304,2011
Duke University,Johns Hopkins University,38,57,0.010638297872340425,2011
Andrews University,Loma Linda University,39,20,0.017241379310344827,2011
Boston College,Loyola University Chicago,71,45,0.008695652173913044,2011
Fordham University,Loyola University Chicago,47,45,0.01098901098901099,2011
Boston College,Marquette University,71,30,0.01,2011
Boston University,Massachusetts Institute Of Technology,17,50,0.015151515151515152,2011
Fordham University,New School,47,51,0.010309278350515464,2011
Cornell University,New School,54,51,0.009615384615384616,2011
Massachusetts Institute Of Technology,New School,50,51,0.01,2011
Howard University,New School,33,51,0.012048192771084338,2011
Brandeis University,New York University,47,54,0.01,2011
New School,New York University,51,54,0.009615384615384616,2011
George Washington University,Northeastern University,38,24,0.01639344262295082,2011
Illinois Institute Of Technology,Northwestern University,34,74,0.009345794392523364,2011
Fordham University,Northwestern University,47,74,0.008333333333333333,2011
New York University,Polytechnic Institute Of New York University,54,32,0.03614457831325301,2011
Baylor College Of Medicine,Rice University,41,24,0.031746031746031744,2011
Brown University,Rockefeller University,53,36,0.011363636363636364,2011
Georgetown University,Saint Louis University,34,51,0.011904761904761904,2011
Catholic University Of America,Seton Hall University,47,45,0.01098901098901099,2011
Baylor College Of Medicine,Southern Methodist University,41,42,0.012195121951219513,2011
Rensselaer Polytechnic Institute,St Johns University,29,29,0.017543859649122806,2011
Catholic University Of America,St Johns University,47,29,0.013333333333333334,2011
Rockefeller University,Stanford University,36,30,0.015384615384615385,2011
Rochester Institute Of Technology,Syracuse University,53,67,0.008403361344537815,2011
Dartmouth College,Texas Christian University,22,44,0.015384615384615385,2011
Pennsylvania State University,Thomas Jefferson University,35,28,0.016129032258064516,2011
Georgetown University,University Of Chicago,34,47,0.0125,2011
Loyola University Chicago,University Of Chicago,45,47,0.01098901098901099,2011
Johns Hopkins University,University Of Chicago,57,47,0.009708737864077669,2011
Duke University,University Of Chicago,38,47,0.011904761904761904,2011
Illinois Institute Of Technology,University Of Chicago,34,47,0.0125,2011
Howard University,University Of Delaware,33,33,0.015384615384615385,2011
Pepperdine University,University Of Pacific,40,29,0.014705882352941176,2011
Pennsylvania State University,University Of Pennsylvania,35,53,0.011494252873563218,2011
University Of Pennsylvania,University Of Pittsburgh,53,57,0.009174311926605505,2011
Pennsylvania State University,University Of Pittsburgh,35,57,0.01098901098901099,2011
Carnegie Mellon University,University Of Pittsburgh,45,57,0.009900990099009901,2011
Chapman University,University Of San Diego,51,32,0.012195121951219513,2011
Auburn University,University Of South Alabama,12,17,0.03571428571428571,2011
Cornell University,University Of Southern California,54,46,0.010101010101010102,2011
California Institute Of Technology,University Of Southern California,56,46,0.009900990099009901,2011
St Johns University,University Of St Thomas Minnesota,29,43,0.014084507042253521,2011
Seton Hall University,University Of St Thomas Minnesota,45,43,0.011494252873563218,2011
Georgetown University,University Of St Thomas Minnesota,34,43,0.013157894736842105,2011
University Of San Diego,University Of St Thomas Minnesota,32,43,0.013513513513513514,2011
Cornell University,University Of Tulsa,54,50,0.009708737864077669,2011
New School,University Of Virginia,51,13,0.015873015873015872,2011
Howard University,University Of Virginia,33,13,0.022222222222222223,2011
University Of St Thomas Minnesota,Vanderbilt University,43,55,0.010309278350515464,2011
University Of Pacific,Washington University,29,55,0.012048192771084338,2011
Carnegie Mellon University,West Virginia University,45,15,0.01694915254237288,2011
University Of Connecticut,Yale University,20,19,0.02631578947368421,2011
Massachusetts Institute Of Technology,Yale University,50,19,0.014705882352941176,2011
Brown University,Howard University,53,33,0.011764705882352941,2011
Loyola Marymount University,Loyola University Chicago,90,45,0.007462686567164179,2011
Loyola Marymount University,University Of Southern California,90,46,0.022556390977443608,2011
Baylor College Of Medicine,Baylor University,47,25,0.014084507042253521,2013
Brown University,Carnegie Mellon University,54,48,0.009900990099009901,2013
Brandeis University,Cornell University,44,47,0.011111111111111112,2013
Boston College,Creighton University,54,39,0.02197802197802198,2013
Clark Atlanta University,Emory University,28,43,0.014285714285714285,2013
Catholic University Of America,Fordham University,47,37,0.012048192771084338,2013
Boston College,Fordham University,54,37,0.011111111111111112,2013
Brandeis University,George Washington University,44,37,0.0125,2013
Duke University,Johns Hopkins University,40,55,0.010638297872340425,2013
Andrews University,Loma Linda University,41,20,0.08928571428571429,2013
Boston College,Loyola University Chicago,54,44,0.010309278350515464,2013
Fordham University,Loyola University Chicago,37,44,0.0125,2013
Creighton University,Marquette University,39,30,0.014705882352941176,2013
Boston College,Marquette University,54,30,0.012048192771084338,2013
Harvard University,Massachusetts Institute Of Technology,48,72,0.008403361344537815,2013
Boston University,Massachusetts Institute Of Technology,41,72,0.008928571428571428,2013
Fordham University,New School,37,41,0.012987012987012988,2013
Cornell University,New School,47,41,0.011494252873563218,2013
Long Island University,New York University,38,60,0.010309278350515464,2013
Georgetown University,New York University,34,60,0.010752688172043012,2013
Illinois Institute Of Technology,Northwestern University,33,74,0.009433962264150943,2013
Fordham University,Northwestern University,37,74,0.00909090909090909,2013
New York University,Polytechnic Institute Of New York University,60,28,0.03529411764705882,2013
Howard University,Princeton University,34,39,0.013888888888888888,2013
Carnegie Mellon University,Rensselaer Polytechnic Institute,48,30,0.012987012987012988,2013
Baylor College Of Medicine,Rice University,47,25,0.02857142857142857,2013
New School,Rockefeller University,41,45,0.011764705882352941,2013
Massachusetts Institute Of Technology,Rockefeller University,72,45,0.008620689655172414,2013
Georgetown University,Saint Louis University,34,54,0.011494252873563218,2013
Baylor University,Saint Louis University,25,54,0.01282051282051282,2013
Seton Hall University,St Johns University,43,28,0.014285714285714285,2013
Rensselaer Polytechnic Institute,St Johns University,30,28,0.017543859649122806,2013
Depaul University,St Johns University,43,28,0.014285714285714285,2013
Rockefeller University,Stanford University,45,32,0.013157894736842105,2013
Rensselaer Polytechnic Institute,Syracuse University,30,73,0.00980392156862745,2013
Syracuse University,Temple University,73,35,0.009345794392523364,2013
Dartmouth College,Texas Christian University,42,48,0.011235955056179775,2013
Johns Hopkins University,University Of Chicago,55,51,0.009523809523809525,2013
Duke University,University Of Chicago,40,51,0.011111111111111112,2013
Loyola University Chicago,University Of Chicago,44,51,0.010638297872340425,2013
Illinois Institute Of Technology,University Of Chicago,33,51,0.012048192771084338,2013
Carnegie Mellon University,University Of Notre Dame,48,47,0.010638297872340425,2013
Dartmouth College,University Of Notre Dame,42,47,0.011363636363636364,2013
Pennsylvania State University,University Of Pennsylvania,25,56,0.0125,2013
Carnegie Mellon University,University Of Pittsburgh,48,59,0.009433962264150943,2013
University Of Pennsylvania,University Of Pittsburgh,56,59,0.008771929824561403,2013
Pennsylvania State University,University Of Pittsburgh,25,59,0.012048192771084338,2013
Rochester Institute Of Technology,University Of Rochester,56,48,0.0196078431372549,2013
Syracuse University,University Of Rochester,73,48,0.008333333333333333,2013
Adelphi University,University Of Rochester,24,48,0.014084507042253521,2013
Massachusetts Institute Of Technology,University Of Rochester,72,48,0.008403361344537815,2013
Chapman University,University Of San Diego,53,32,0.011904761904761904,2013
Cornell University,University Of Southern California,47,52,0.01020408163265306,2013
Boston College,University Of St Thomas Minnesota,54,49,0.00980392156862745,2013
Georgetown University,University Of St Thomas Minnesota,34,49,0.012195121951219513,2013
University Of San Diego,University Of St Thomas Minnesota,32,49,0.0125,2013
St Johns University,University Of St Thomas Minnesota,28,49,0.013157894736842105,2013
University Of St Thomas Minnesota,Vanderbilt University,49,55,0.009708737864077669,2013
University Of Pacific,Washington University,27,54,0.0125,2013
Emory University,Washington University,43,54,0.010416666666666666,2013
University Of Denver,Washington University,28,54,0.012345679012345678,2013
Massachusetts Institute Of Technology,West Virginia University,72,17,0.011363636363636364,2013
Carnegie Mellon University,West Virginia University,48,17,0.015625,2013
Brown University,Howard University,54,34,0.011494252873563218,2013
Brown University,Princeton University,54,39,0.010869565217391304,2013
Dartmouth College,Rockefeller University,42,45,0.011627906976744186,2013
New Jersey Institute Of Technology,Princeton University,52,39,0.011111111111111112,2013
Baylor College Of Medicine,Baylor University,51,36,0.03571428571428571,2018
Boston College,Creighton University,52,38,0.022727272727272728,2018
Clark Atlanta University,Emory University,30,39,0.014705882352941176,2018
Case Western Reserve University,Emory University,42,39,0.0125,2018
Drexel University,Fordham University,49,40,0.011363636363636364,2018
Andrews University,Loma Linda University,37,35,0.07462686567164178,2018
Illinois Institute Of Technology,Loyola University Chicago,35,31,0.015384615384615385,2018
Loyola Marymount University,Marquette University,86,52,0.0072992700729927005,2018
Drexel University,New Jersey Institute Of Technology,49,56,0.009615384615384616,2018
Long Island University,New York University,31,74,0.009615384615384616,2018
Illinois Institute Of Technology,Northwestern University,35,63,0.010309278350515464,2018
Duke University,Northwestern University,38,63,0.020202020202020204,2018
Massachusetts Institute Of Technology,Rensselaer Polytechnic Institute,76,25,0.01,2018
Baylor College Of Medicine,Rice University,51,25,0.013333333333333334,2018
Cornell University,Rockefeller University,59,49,0.009345794392523364,2018
Rice University,Rockefeller University,25,49,0.0136986301369863,2018
Johns Hopkins University,Rockefeller University,36,49,0.011904761904761904,2018
Loyola University Chicago,Saint Louis University,31,45,0.013333333333333334,2018
Catholic University Of America,Seton Hall University,47,45,0.01098901098901099,2018
Georgetown University,St Johns University,39,28,0.015151515151515152,2018
Rockefeller University,Stanford University,49,33,0.012345679012345678,2018
Pennsylvania State University,Temple University,38,37,0.0273972602739726,2018
Loyola University Chicago,University Of Chicago,31,52,0.012195121951219513,2018
Illinois Institute Of Technology,University Of Chicago,35,52,0.011627906976744186,2018
Northwestern University,University Of Denver,63,24,0.011627906976744186,2018
Boston University,University Of Louisville,40,12,0.0196078431372549,2018
Carnegie Mellon University,University Of Notre Dame,50,49,0.01020408163265306,2018
Rockefeller University,University Of Pennsylvania,49,55,0.009708737864077669,2018
Temple University,University Of Pennsylvania,37,55,0.01098901098901099,2018
Pennsylvania State University,University Of Pennsylvania,38,55,0.010869565217391304,2018
Temple University,University Of Pittsburgh,37,53,0.022727272727272728,2018
Pennsylvania State University,University Of Pittsburgh,38,53,0.02247191011235955,2018
University Of Pennsylvania,University Of Pittsburgh,55,53,0.009345794392523364,2018
Carnegie Mellon University,University Of Pittsburgh,50,53,0.03,2018
Rochester Institute Of Technology,University Of Rochester,45,48,0.02197802197802198,2018
Adelphi University,University Of Rochester,27,48,0.013513513513513514,2018
Georgetown University,University Of San Francisco,39,41,0.012658227848101266,2018
Auburn University,University Of South Alabama,16,16,0.03225806451612903,2018
Cornell University,University Of Southern California,59,57,0.008695652173913044,2018
Rockefeller University,University Of Southern California,49,57,0.009523809523809525,2018
Loyola University Chicago,University Of St Thomas Minnesota,31,38,0.014705882352941176,2018
Georgetown University,University Of St Thomas Minnesota,39,38,0.013157894736842105,2018
Northwestern University,Vanderbilt University,63,24,0.011627906976744186,2018
Emory University,Washington University,39,61,0.010101010101010102,2018
Saint Louis University,Washington University,45,61,0.019230769230769232,2018
Rowan University,Widener University,18,25,0.023809523809523808,2018
University Of Connecticut,Yale University,20,19,0.02631578947368421,2018
Vanderbilt University,Yeshiva University,24,38,0.01639344262295082,2018
Brown University,Rockefeller University,58,49,0.009433962264150943,2018
Harvard University,University Of Chicago,43,52,0.010638297872340425,2018
New Jersey Institute Of Technology,Princeton University,56,64,0.008403361344537815,2018
Northwestern University,Rutgers State University Of New Jersey,63,66,0.0078125,2018
