Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,PrimarySample,FixedPosition
George R. Zoffinger,Governor,Rutgers State University Of New Jersey,,Penn State 1970 BA; NYU 1971 MA,"President and Chief Executive Officer, New Jersey Sports and Exposition Authority Capital Corporation",,,,,102322142.0,186380.0,True,Trustee
Samuel Rabinowitz,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Other Board Member
"John F. Russo, Sr",Governor,Rutgers State University Of New Jersey,,Notre Dame 1955; Columbia 1958 JD,"Partner, Princeton Public Affairs Group, IncThe Princeton House, 160 West State Street Trenton. NJ 08608-1102 Tel: (609) 396-8838",,,,,102322142.0,186380.0,True,Trustee
Patrick M. Ryan,Governor,Rutgers State University Of New Jersey,,Notre Dame 1967,"President and Chief Executive Officer, Yardville 6 (gri National Bank; Trustee, Board of Trustees, Rutgers, The State University of New Jersey New Brunswick, NJ 08903",,,,,102322142.0,186380.0,True,Trustee
Duncan L. MacMillan,Governor,Rutgers State University Of New Jersey,,Rutgers 1966 BA; Fordham 1967 MA; NYU 1971 MBA,,,,,,102322142.0,186380.0,True,Trustee
Richard L. McCormick,Ex Officio Governor,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,"Trustee, Ex Officio"
Rochelle Gizinski,Governor,Rutgers State University Of New Jersey,,Rutgers 1980 BA; Seton Hall 1983 JD,"Partner, Abazia & Gininski, L.L.C",,,,,102322142.0,186380.0,True,Trustee
"Albert R. Gamper, Jr.",Governor,Rutgers State University Of New Jersey,,Rutgers (Newark) 1966 BS,"Chairman and Chief Executive Officer, CIT Group Inc (2003-2004)",,,,,102322142.0,186380.0,True,Trustee
Leslie A. Fehrenbach,Secretary,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Other Board Member
Bruce renn,Treasurer. (Interim),Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Other Board Member
Martha A. Cotter,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Other Board Member
Margaret Coppolo,Student Representative Governor,Rutgers State University Of New Jersey,,Southern Illinois 1964 BA; Georgetown 1969 PhD affl,,,,,,102322142.0,186380.0,True,Other Board Member
Catherine A. Cahill,Assistant Secretary,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Other Board Member
Mary L. Baglivo,Governor,Rutgers State University Of New Jersey,,Rutgers 1979,"Chief Executive Officer, Americas [Director, Worldwide Marketing), Saatchi & Saatchi 375 Hudson Street, New York, NY 10014-3660",,,,,102322142.0,186380.0,True,Trustee
Leslie Eugene Goodman,Governor,Rutgers State University Of New Jersey,,"Rutgers 1965 BA, 1970 MBA; Rutgers (Camden) 1980 JD","Chair, The Eagle Group",,,,,102322142.0,186380.0,True,Trustee
"Rev. M. William Howard, Jr.",Chairman,Rutgers State University Of New Jersey,,Morehouse Col 1968 BA; Princeton Sem 1972 MDiv,"Pastor, Bethany Baptist Church 275 West Market Street, Newark, NJ 07103 Tel: (973) 623-8161",,,,,102322142.0,186380.0,True,Board President
Thomas P. O'Donnell,Trustee,Saint Marys College Of California,,,"Member, Ferrari Ottoboni LLP",,,,,177081203.0,123554.0,False,Regent
James R. Quandt,Chairman,Saint Marys College Of California,,,"Affiliation: Partner, Hudson Highland Group, Inc",,,,,177081203.0,123554.0,False,Board President
George F. Schmitt,Trustee,Saint Marys College Of California,,,,,,,,177081203.0,123554.0,False,Regent
Richard F. Spencer,Trustee,Saint Marys College Of California,,,"Affiliation: President and Chairman, Spencer Enterprises, Inc",,,,,177081203.0,123554.0,False,Regent
Cecilia E. McGraw,Trustee,Saint Marys College Of California,,,"Lawyer and Case Manager, Scarlett Law Group",,,,,177081203.0,123554.0,False,Regent
George Van Grieken,Trustee,Saint Marys College Of California,,,,,,,,177081203.0,123554.0,False,Regent
"Rev. Patrick LaBelle, OP",Trustee,Saint Marys College Of California,,,,,,,,177081203.0,123554.0,False,Regent
"Brother Stanislaus Campbell, FSC",Trustee,Saint Marys College Of California,,,"Provincial, San Francisco Province, Order of the Brothers of the Christian Schools",,,,,177081203.0,123554.0,False,Regent
Sherie Dodsworth,Trustee,Saint Marys College Of California,,,"President, ROI Assistance",,,,,177081203.0,123554.0,False,Regent
Raymond W. Syufy,Trustee,Saint Marys College Of California,,,"Affiliation: Chief Executive Officer, Century Theatres, Inc",,,,,177081203.0,123554.0,False,Regent
Philip E. Lebherz,Trustee,Saint Marys College Of California,,,"Chairman and Chief Executive Officer, LISI, Inc",,,,,177081203.0,123554.0,False,Regent
Steve M. Smith,Trustee,Saint Marys College Of California,,,,,,,,177081203.0,123554.0,False,Regent
"Brother Edmond Larouche, FSC",Trustee,Saint Marys College Of California,,,"President, St. Mary's College High School",,,,,177081203.0,123554.0,False,Regent
Meghan Birmingham Leader,Trustee,Saint Marys College Of California,,,"Vice President and Head, Global Business Operations, Novartis Vaccines and Diagnostics, Inc",,,,,177081203.0,123554.0,False,Regent
Richard M. DeLuna,Trustee,Saint Marys College Of California,,,"Chairman and Chief Executive Officer, Collection Bureau of America",,,,,177081203.0,123554.0,False,Regent
"Brother Louis DeThomasis, FSC",Trustee,Saint Marys College Of California,,Georgetown 1963 BSFS; Union Inst PhD; Georgetown LLD,"Chancellor, Saint Mary's University of Minnesota",,,,,177081203.0,123554.0,False,Regent
Robin J. Driscoll,Trustee,Saint Marys College Of California,,,,,,,,177081203.0,123554.0,False,Regent
A. David Cobo,Trustee,Saint Marys College Of California,,"San Francisco State BA, MA","Chief Executive Officer, Prudential California/Nevada/Texas Realty",,,,,177081203.0,123554.0,False,Regent
"Brother Ronald Gallagher, FSC",Trustee,Saint Marys College Of California,,,,,,,,177081203.0,123554.0,False,Regent
Louisa Garaventa-Binswanger,Trustee,Saint Marys College Of California,,,,,,,,177081203.0,123554.0,False,Regent
Russell J. Harrison,Trustee,Saint Marys College Of California,,,"President and Chief Executive Officer, onManagement, inc",,,,,177081203.0,123554.0,False,Regent
Peter W. Kelly,Secretary,Saint Marys College Of California,,,"Partner, TMP/Highland Partners",,,,,177081203.0,123554.0,False,Other Board Member
Sandra J. Feaster,Secretary,Saint Marys College Of California,,,"Program Director, Center for Immersive and Simulation-Based Learning, Stanford University School of Medicine",,,,,177081203.0,123554.0,False,Other Board Member
Michael T. McCarthy,Trustee,Santa Clara University,,,,,,,,16269868.0,122931.0,False,Regent
"Rev. James P. Flaherty, S.J",Trustee,Santa Clara University,,Marquette 1978; New School 2003,"Rector, Jesuit Community, Marquette University",,,,,16269868.0,122931.0,False,Regent
"Joseph M. McShane, S.J.",Trustee,Santa Clara University,,"Boston Col 1972 AB, 1973 AM; Jesuit Berkeley 1977 MDiv, STM; Chicago 1981 PhD","President, Fordham University at Rose Hil",,,,,16269868.0,122931.0,False,Regent
Richard M. Moley,Trustee,Santa Clara University,,,"Chairman, President and Chief Executive Officer, est-epe (sis) StrataCom, Inc. (1986-1996)",,,,,16269868.0,122931.0,False,Regent
"Robert J. Finocchio, Jr",Vice Chairman,Santa Clara University,,Santa Clara 1973 BS; Harvard 1977 MBA,,,,,,16269868.0,122931.0,False,Board Vice President
"A. C. ""Mike"" Markkula, Jr",Chairman,Santa Clara University,,,"Owner, A.C.M. Investments",,,,,16269868.0,122931.0,False,Board President
"Gerdenio M. ""Sonny"" Manuel, S.J",Ex Officio Trustee,Santa Clara University,,U San Francisco 1971 BA; Jesuit Berkeley 1978 MDiv; Duke 1985 PhD,,,,,,16269868.0,122931.0,False,"Regent, Ex Officio"
"Donald L. ""Don"" Lucas",Trustee,Santa Clara University,,"Stanford 1951 AB, 1953 MBA",,,,,,16269868.0,122931.0,False,Regent
Lorry I. Lokey,Trustee,Santa Clara University,,,"Chairman, Business Wire",,,,,16269868.0,122931.0,False,Regent
Kapil Nanda,Trustee,Santa Clara University,,,"Founder, Chairman and Chief Executive Officer, Infogain Corporation",,,,,16269868.0,122931.0,False,Regent
"Rev. Paul L. Locatelli, S.J",Trustee,Santa Clara University,,,,,,,,16269868.0,122931.0,False,Regent
"Rupert H. Johnson, Jr",Trustee,Santa Clara University,,Washington and Lee BA,"Vice Chairman, Franklin Resources, Inc",,,,,16269868.0,122931.0,False,Regent
Paul F. Gentzkow,Trustee,Santa Clara University,,,"President and Chief Operating Officer, Staffing Services, Robert Half International Inc",,,,,16269868.0,122931.0,False,Regent
Rebecca Guerra,Trustee,Santa Clara University,,,"Vice President, Human Resources, Extreme Networks, Inc",,,,,16269868.0,122931.0,False,Regent
Jennifer Konecny,Trustee,Santa Clara University,,,,,,,,16269868.0,122931.0,False,Regent
"J. Terrence ""Terry"" Lanni",Trustee,Santa Clara University,,USC MBA,"Chairman and Chief Executive Officer, MGM MIRAGE",,,,,16269868.0,122931.0,False,Regent
Heidi LeBaron Leupp,Trustee,Santa Clara University,,Santa Clara,,,,,,16269868.0,122931.0,False,Regent
"John C. ""Jack"" Lewis",Trustee,Santa Clara University,,Cal State (Fresno) 1957 BS,"President and Chief Executive Officer, Amdahl Corporation (1996-1998)",,,,,16269868.0,122931.0,False,Regent
Ellen M. Hancock,Trustee,Santa Clara University,,New Rochelle 1965 BA; Fordham 1966 MA,,,,,,16269868.0,122931.0,False,Regent
Regis McKenna,Trustee,Santa Clara University,,,,,,,,16269868.0,122931.0,False,Regent
"Rev. Eduardo C. Fernandez, S.J",Trustee,Santa Clara University,,,"Associate Professor, Pastoral Theology and Ministry, Jesuit School of Theology, University of California, Berkeley",,,,,16269868.0,122931.0,False,Regent
Larry W. Sonsini,Trustee,Santa Clara University,,UC Berkeley 1963 AB; Boalt Hall 1966 JD,"Chairman, Executive Management Committee, Wilson Sonsini Goodrich & Rosati",,,,,16269868.0,122931.0,False,Regent
Jon R. Aboitiz,Trustee,Santa Clara University,,,"President and Chief Executive Officer, Aboitiz Equity Ventures, Inc",,,,,16269868.0,122931.0,False,Regent
David C. Drummond,Trustee,Santa Clara University,,Santa Clara BA; Stanford 1989 JD,"Senior Vice President, Corporate Development and Chief Legal Officer, Google Inc",,,,,16269868.0,122931.0,False,Regent
"Michael R. ""Mike"" Splinter",Trustee,Santa Clara University,,"Wisconsin 1972. BSEE, 1974 MSEE.9 000","President and Chief Executive Officer, Applied Materials, Inc",,,,,16269868.0,122931.0,False,Regent
"Rev. Joseph P. Daoust, S.J",Trustee,Santa Clara University,,,"President, Jesuit School of Theology, University of California, Berkeley",,,,,16269868.0,122931.0,False,Regent
"Rev. Gerald T. Cobb, S.J",Trustee,Santa Clara University,,,"Associate Professor, Department of English, Seattle University",,,,,16269868.0,122931.0,False,Regent
Edward A. Panelli,Trustee,Santa Clara University,,,,,,,,16269868.0,122931.0,False,Regent
Robert W. Peters,Trustee,Santa Clara University,,,,,,,,16269868.0,122931.0,False,Regent
"Thomas J. Reese, S.J",Trustee,Santa Clara University,,,"Senior Fellow, The Woodstock Theological Center, Josh. A val",,,,,16269868.0,122931.0,False,Regent
"P. Anthony ""Tony"" Ridder",Trustee,Santa Clara University,,Michigan 1962 BA,,,,,,16269868.0,122931.0,False,Regent
Tasce Simon,Trustee,Santa Clara University,,,,,,,,16269868.0,122931.0,False,Regent
Leon E. Panetta,Trustee,Santa Clara University,,,"Founder and Director, The Leon and Sylvia Panetta Institute for Public Policy",,,,,16269868.0,122931.0,False,Regent
John A. Sobrato,Trustee,Santa Clara University,,,"Chairman, Sobrato Development Companies",,,,,16269868.0,122931.0,False,Regent
William E. Terry,Trustee,Santa Clara University,,,"Executive Vice President, Hewlett-Packard Company",,,,,16269868.0,122931.0,False,Regent
Agnieszka Winkler,Trustee,Santa Clara University,,,"Chairman, The Winkler Group",,,,,16269868.0,122931.0,False,Regent
Louis M. Castruccio,Trustee,Santa Clara University,,,,,,,,16269868.0,122931.0,False,Regent
William S. Carter,Trustee,Santa Clara University,,,"Partner, Irell & Manella LLP",,,,,16269868.0,122931.0,False,Regent
Michael J. Carey,Trustee,Santa Clara University,,,"President, Seirus Gloves and Accessories; President, Seirus Innovative Accessories",,,,,16269868.0,122931.0,False,Regent
"Margaret M. ""Peggy"" Bradshaw",Trustee,Santa Clara University,,Santa Clara 1972 BS; Smith 1979 MA,"National Director, Small Business Banking, Comerica Incorporated",,,,,16269868.0,122931.0,False,Regent
Robert H. Smith,Trustee,Santa Clara University,,USC,,,,,,16269868.0,122931.0,False,Regent
"Gregory R. Bonfiglio, S.J.",Trustee,Santa Clara University,,,"President, Jesuit High School",,,,,16269868.0,122931.0,False,Regent
John J. Schimpf,Trustee,Seton Hall University,,"Canisius 1966 AB; Cornell 1968 MA, 1972 PhD","Consultant and Portfolio Manager, Denholtz Associates",,,,,12524447.0,186584.0,True,Regent
Kurt T. Borowsky,Trustee,Seton Hall University,,,"Chairman, Van Beuren Management, Inc330 South Street, Morristown, NJ 07960-6020",,,,,12524447.0,186584.0,True,Regent
Dr. Phillip Frese,Trustee,Seton Hall University,,,"Executive Vice President, Operations, Catholic Health and Human Services Corporation",,,,,12524447.0,186584.0,True,Regent
Richard Mahmarian,Trustee,Seton Hall University,,,"Chief Executive Officer, REM AsSOC., LLC",,,,,12524447.0,186584.0,True,Regent
Alfred C. Koeppe,Trustee,Seton Hall University,,,"Post Office Box 2075, Morristown, NJ 07962-2075",,,,,12524447.0,186584.0,True,Regent
Patrick M. Murray,Trustee,Seton Hall University,,St Peter's Col 1969 BS; Seton Hall 1972 JD,,,,,,12524447.0,186584.0,True,Regent
Monsignor James M. Cafone,Vice Chairman,Seton Hall University,,,,,,,,12524447.0,186584.0,True,Board Vice President
Michael J. Lucciola,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,True,Regent
Joseph P. LaSala,Trustee,Seton Hall University,,"Seton Hall BSBA, MBA","Partner, McElroy, Deutsch, Mulvaney & Carpenter, LLP",,,,,12524447.0,186584.0,True,Regent
Phil Maisano,Trustee,Seton Hall University,,Seton Hall 1965 BA; Pontifical Gregorian (Italy) DD 19,"Vice Chair and Chief Investment Officer, The Dreyfus Corporation",,,,,12524447.0,186584.0,True,Regent
Rev. Joseph Reilly,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,True,Regent
The Most Reverend John J. Myers,Trustee,Seton Hall University,,,"Archbishop, Archdiocese of Newark",,,,,12524447.0,186584.0,True,Regent
Dr. Francis M. Lazarus.,Trustee,Seton Hall University,,,"President, University of Dallas",,,,,12524447.0,186584.0,True,Regent
Patricia Cahill,Trustee,Seton Hall University,,,"President and Chief Executive Officer, Catholic Health Initiatives",,,,,12524447.0,186584.0,True,Regent
Monsignor John Doran,Trustee,Seton Hall University,,,"Vicar General and Moderator of the Curia, Archdiocese of Newark171 Clifton Avenue, Newark, NJ 07104-0500",,,,,12524447.0,186584.0,True,Regent
"John C. Kelly, CPA.",Trustee,Seton Hall University,,,"Vice President and Controller, Wyeth",,,,,12524447.0,186584.0,True,Regent
The Most Reverend Aurthur J. Serratelli,Trustee,Seton Hall University,,Upsala BA; Seton Hall MBA,,,,,,12524447.0,186584.0,True,Regent
James J. Malespina,Trustee,Seton Hall University,,,"Vice President, Herzog, Heine, Geduld, Inc",,,,,12524447.0,186584.0,True,Regent
Pamela M. Swartzberg,Secretary,Seton Hall University,,Belmont Abbey: Iona MBA,"Chair, Womens Commission, Archdiocese of Newark",,,,,12524447.0,186584.0,True,Other Board Member
Monsignor Robert Sheeran,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,True,Regent
Monsignor Robert Wister,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,True,Regent
Mike Rush,Chief Academic Officer,University Of Idaho,,,,,,,,155093810.0,142285.0,True,Member
Richard Westerberg,Board Member,University Of Idaho,,,Administration,,,,,155093810.0,142285.0,True,Member
Mark Browning,Chief Communications Officer,University Of Idaho,,,,,,,,155093810.0,142285.0,True,Member
Jeff Schrader,Deputy Attorney General,University Of Idaho,,,,,,,,155093810.0,142285.0,True,Member
Scott Parker,Trustee,University Of Utah,,,,,,,,223532165.0,230764.0,True,Regent
Jim M. Wall,Trustee,University Of Utah,,,,,,,,223532165.0,230764.0,True,Regent
Laura Snow,Secretary,University Of Utah,,,,,,,,223532165.0,230764.0,True,Other Board Member
Patrick Reimherr,Student Trustee,University Of Utah,,,,,,,,223532165.0,230764.0,True,Other Board Member
Michele Mattsson,Trustee,University Of Utah,,,"Affiliation: Chief Appellate Mediator, Utah Court of Appeals, P.O. Box 140230, Salt Lake City, UT 84114-0230, Tel: (801) 578-3950, Education: Utah 1988 JD",,,,,223532165.0,230764.0,True,Regent
Lorena Riffo-Jenson,Trustee,University Of Utah,,,,,,,,223532165.0,230764.0,True,Regent
C. Hope Eccles,Trustee,University Of Utah,,,,,,,,223532165.0,230764.0,True,Regent
Spencer F. Eccles,Treasurer,University Of Utah,,,"Affiliation: Chairman and Chief Executive Officer, George S. and Dolores Dore Eccles Foundation, 79 South Main Street, 12th Floor, Salt Lake City, UT 84111, Tel: (801) 246-5340, Education: Utah 1956 BS; Columbia 1959 MBA",,,,,223532165.0,230764.0,True,Other Board Member
Randy L. Dryer,Chairman,University Of Utah,,,,,,,,223532165.0,230764.0,True,Board President
Roger H. Boyer,Vice Chairman,University Of Utah,,,,,,,,223532165.0,230764.0,True,Board Vice President
Timothy B. Anderson,Trustee,University Of Utah,,,Education: Southern Utah 1975 BA; J Reuben Clark Law 1978 JD,,,,,223532165.0,230764.0,True,Regent
Clark D. Ivory,Trustee,University Of Utah,,,"Affiliation: Chairman, Salt Lake City (UT) Branch, Federal Reserve System, P.O. Box 30780, Salt Lake City, UT 84125-0780, Tel: (801) 322-7900",,,,,223532165.0,230764.0,True,Regent
David Johnson III,Trustee,Utah State University,,,"Debt Collections Office Director, Administrative
Services Department, State of Utah
3120 State Office Building, Salt Lake City, UT 84114
Tel: (801) 538-3603
Education: Utah State 1972 BA, 1974 MS; Utah 1978 JD",,,,,121980950.0,230728.0,True,Regent
Lee H. Burke,Secretary,Utah State University,,,"Partner, PricewaterhouseCoopers
300 Madison Avenue, New York, NY 10017",,,,,121980950.0,230728.0,True,Other Board Member
David P. Cook,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,True,Regent
"Douglas S. ""Doug"" Foxley",Trustee,Utah State University,,,"Partner, Foxley & Pignanelli
60 South 600 East, Suite 150, Salt Lake City, UT 84102
Tel: (801) 355-9188
Education: Utah; Oregon State MBA",,,,,121980950.0,230728.0,True,Regent
Robert L. Foley,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,True,Regent
Suzanne Pierce Moore,Vice Chairman,Utah State University,,,,,,,,121980950.0,230728.0,True,Board Vice President
Richard Nelson,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,True,Regent
Paul D. Parkinson,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,True,Regent
Richard Shipley,Chairman,Utah State University,,,"President and Chief Executive Officer, Shipley Associates",,,,,121980950.0,230728.0,True,Board President
Scott R. Watterson,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,True,Regent
Peter A. McChesney,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,True,Regent
Lori L. Wagner,Board Member,Virginia Tech,,Virginia Tech,,,,,,859038795.0,233921.0,True,Member
Philip S. Thompson,Board Member,Virginia Tech,,,,,,,,859038795.0,233921.0,True,Member
James R. Smith,Board Member,Virginia Tech,,Virginia Tech 1974,,,,,,859038795.0,233921.0,True,Member
Ryan C. Smith,Undergraduate Student Representative,Virginia Tech,,,,,,,,859038795.0,233921.0,True,Other Board Member
