Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,PrimarySample
"James H. Johnson, Jr",Dean,Howard University,"College of Engineering, Architecture and Computer Sciences",,,290.0,,137853757.0,131520.0,True
Alice Gresham Bullock,Dean,Howard University,School of Law,,,290.0,,137853757.0,131520.0,True
Floyd J. Malveaux,Dean,Howard University,College of Medicine,,,290.0,,137853757.0,131520.0,True
Floyd J. Malveaux,"Acting Vice President, Health Affairs",Howard University,College of Medicine,,,290.0,,137853757.0,131520.0,True
Pedro Lecca,Dean,Howard University,"College of Pharmacy, Nursing and Allied Health Sciences",,,290.0,,137853757.0,131520.0,True
Richard A. English,Dean,Howard University,School of Social Work,,,290.0,,137853757.0,131520.0,True
Orlando L. Taylor,Dean,Howard University,Graduate School of Arts and Sciences,,,290.0,,137853757.0,131520.0,True
Elizabeth G. Early,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
Harold P. Freeman,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
Earl G. Graves,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
Renee Higginbotham-Brooks,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
Dennis F. Hightower,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
"Vernon E. Jordan, Jr.",Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
The Hon. Jack F. Kemp,Trustee,Howard University,,DePauw 1957 BA; Howard U 1960 JD,"Co-Director, Empower America 1776 I St., NW, Ste. 890, Washington, DC 20606 Tel: (202) 452-8200 Fax: (202) 833-0388",290.0,,137853757.0,131520.0,True
Gen. Colin L. Powell,Trustee,Howard University,,CCNY BS; George Washington MBA,"Chairman, U.S. Joint Chiefs of Staff Department of Defense, 1989-93",290.0,,137853757.0,131520.0,True
Gerald D. Prothro,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
Phylicia Rashad,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
Frank Savage,Chairman,Howard University,,,,290.0,,137853757.0,131520.0,True
Che A. Sayles,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
Wayman F. Smith,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
Louis E. Sterling,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
H. Patrick Swygert,President,Howard University,,,,290.0,,137853757.0,131520.0,True
H. Patrick Swygert,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
Glegg L. Watson,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
Gregory A. White,Trustee,Howard University,,,,290.0,,137853757.0,131520.0,True
The Hon. L. Douglas Wilder,Trustee,Howard University,,Virginia Union BS; Howard U 1959 JD,"Partner, Wilder & Gregory",290.0,,137853757.0,131520.0,True
Richard L. Bowen,President,Idaho State University,,Augustana (SD); Harvard PhD,"Foreign Service Officer, U.SDepartment of State; President, Dakota State College; President, University of South Dakota at Springfield; President, University of South Dakota",290.0,,106969075.0,142276.0,True
Jonathan N. Lawson,"Vice President, Academic Affairs",Idaho State University,,,,290.0,,106969075.0,142276.0,True
Ken Prolo,"Vice President, Financial Services (Acting)",Idaho State University,,,,290.0,,106969075.0,142276.0,True
Kent Tingey,"Vice President, Institutional Advancement",Idaho State University,,,,290.0,,106969075.0,142276.0,True
Edwin House,"Dean, Research and Sponsored Programs",Idaho State University,,,,290.0,,106969075.0,142276.0,True
Doug Covey,Dean of Students,Idaho State University,,,,290.0,,106969075.0,142276.0,True
Leslye Ellison,"Director, Career Development Center",Idaho State University,,,,290.0,,106969075.0,142276.0,True
Howard Gauthier,"Director, Intercollegiate Athletics",Idaho State University,,,,290.0,,106969075.0,142276.0,True
Douglas C. Pendleton,Controller,Idaho State University,,,,290.0,,106969075.0,142276.0,True
Bradley H. Hall,University Counsel,Idaho State University,,,,290.0,,106969075.0,142276.0,True
Kay Flowers,University Librarian,Idaho State University,,,,290.0,,106969075.0,142276.0,True
Ranaye J. Marsh,Dean,Idaho State University,School of Applied Technology,,,290.0,,106969075.0,142276.0,True
Victor S. Hielm,Dean,Idaho State University,College of Arts and Sciences,,,290.0,,106969075.0,142276.0,True
William E. Stratton,Dean,Idaho State University,College of Business,,,290.0,,106969075.0,142276.0,True
Larry B. Harris,Dean,Idaho State University,College of Education,,,290.0,,106969075.0,142276.0,True
Jay Kunze,Dean,Idaho State University,College of Engineering,,,291.0,,106969075.0,142276.0,True
Linda C. Hatzenbuehler,Dean,Idaho State University,College of Health Professions,,,291.0,,106969075.0,142276.0,True
Barbara G. Wells,Dean,Idaho State University,College of Pharmacy,,,291.0,,106969075.0,142276.0,True
Paul Tate,Dean,Idaho State University,Graduate School,,,291.0,,106969075.0,142276.0,True
Tom G. Boyd,Board Member,Idaho State University,,,,291.0,,106969075.0,142276.0,True
Harold W. Davis,Vice President,Idaho State University,,,,291.0,,106969075.0,142276.0,True
Thomas Dillon,President,Idaho State University,,,,291.0,,106969075.0,142276.0,True
Curtis H. Eaton,Board Member,Idaho State University,,,,291.0,,106969075.0,142276.0,True
James C. Hammond,Board Member,Idaho State University,,,,291.0,,106969075.0,142276.0,True
Jerry Hess,Secretary,Idaho State University,,,,291.0,,106969075.0,142276.0,True
Janet Howard,Ex Officio Board Member,Idaho State University,,,"Superintendent, Public Instruction, State of Idaho",291.0,,106969075.0,142276.0,True
Karen McGee,Board Member,Idaho State University,,,,291.0,,106969075.0,142276.0,True
Lewis M. Collens,President,Illinois Institute Of Technology,,"Illinois BA, MA; Chicago JD","Co-Founder, Chairman and Chief Executive Officer, Bar Review, Inc",291.0,,180949307.0,145725.0,True
Judith Carr,Executive Assistant,Illinois Institute Of Technology,,,,291.0,,180949307.0,145725.0,True
Mary Anne Smith,Vice President,Illinois Institute Of Technology,,,,291.0,,180949307.0,145725.0,True
Mary Anne Smith,General Counsel,Illinois Institute Of Technology,,,,291.0,,180949307.0,145725.0,True
John P. Collins,"Vice President, Business and Finance",Illinois Institute Of Technology,,,,291.0,,180949307.0,145725.0,True
"Henry H. Perritt, Jr.","Vice President, Downtown Campus",Illinois Institute Of Technology,Chicago-Kent College of Law,,,291.0,,180949307.0,145725.0,True
"Henry H. Perritt, Jr.",Dean,Illinois Institute Of Technology,Chicago-Kent College of Law,,,291.0,,180949307.0,145725.0,True
David E. Baker,"Vice President, External Affairs",Illinois Institute Of Technology,,,,291.0,,180949307.0,145725.0,True
Thomas Garrow,"Vice President, Institutional Advancement",Illinois Institute Of Technology,,,,291.0,,180949307.0,145725.0,True
Darsh Wasan,"Vice President, International Affairs and Motorola Chair",Illinois Institute Of Technology,,,,291.0,,180949307.0,145725.0,True
Stuart L. Cooper,Vice President,Illinois Institute Of Technology,Armour College,,,291.0,,180949307.0,145725.0,True
Stuart L. Cooper,"Chief Academic Officer, Main Campus",Illinois Institute Of Technology,Armour College,,,291.0,,180949307.0,145725.0,True
Stuart L. Cooper,"Acting Dean, Armour College",Illinois Institute Of Technology,Armour College,,,291.0,,180949307.0,145725.0,True
Helen Oloroso,"Director, Career Development Center",Illinois Institute Of Technology,,,,291.0,,180949307.0,145725.0,True
Donna Robertson,Dean,Illinois Institute Of Technology,College of Architecture,,,291.0,,180949307.0,145725.0,True
Eric Thompson,"Director, Development",Illinois Institute Of Technology,College of Architecture,,,291.0,,180949307.0,145725.0,True
Anita L. Anderson,"Head Librarian, Graham Center",Illinois Institute Of Technology,College of Architecture,,,291.0,,180949307.0,145725.0,True
Stuart L. Cooper,Dean,Illinois Institute Of Technology,Armour College,,,,,180949307.0,145725.0,True
Kathleen Chappell,"Assistant Dean, Development",Illinois Institute Of Technology,Armour College,,,291.0,,180949307.0,145725.0,True
M. Zia Hassan,Dean,Illinois Institute Of Technology,Stuart School of Business,,,291.0,,180949307.0,145725.0,True
Ann F. Caruso,Admissions Coordinator,Illinois Institute Of Technology,Stuart School of Business,,,291.0,,180949307.0,145725.0,True
Ann Shillinglaw,"Director, Development",Illinois Institute Of Technology,Stuart School of Business,,,291.0,,180949307.0,145725.0,True
"Henry H. Perritt, Jr",Dean,Illinois Institute Of Technology,Chicago-Kent College of Law,"MIT 1966 BS, 1970 MS; Georgetown 1975 JD","Faculty Member, School of Law, Villanova University",291.0,,180949307.0,145725.0,True
"Henry H. Perritt, Jr","Vice President, Downtown Campus",Illinois Institute Of Technology,Chicago-Kent College of Law,"MIT 1966 BS, 1970 MS; Georgetown 1975 JD","Faculty Member, School of Law, Villanova University",291.0,,180949307.0,145725.0,True
Gracie Barrera,Admission Assistant,Illinois Institute Of Technology,Chicago-Kent College of Law,,,291.0,,180949307.0,145725.0,True
Rick Poggendorf,"Assistant Dean, Development",Illinois Institute Of Technology,Chicago-Kent College of Law,,,291.0,,180949307.0,145725.0,True
Mohammad Shahidehpour,Dean,Illinois Institute Of Technology,Graduate College,,,291.0,,180949307.0,145725.0,True
Davis G. Anderson,Trustee,Illinois Institute Of Technology,,,"President and Chief Executive Officer, Chicago Extruded Metals Company",291.0,,180949307.0,145725.0,True
Bahman Atefi,"President, It Research Institute",Illinois Institute Of Technology,,,,291.0,,180949307.0,145725.0,True
Bahman Atefi,Trustee,Illinois Institute Of Technology,,,,291.0,,180949307.0,145725.0,True
Thomas H. Beeby,Trustee,Illinois Institute Of Technology,,,"Principal and Director, Design, Hammond Beeby and Babka, Inc",292.0,,180949307.0,145725.0,True
Heather M. Bilandic,Trustee,Illinois Institute Of Technology,,,,292.0,,180949307.0,145725.0,True
"Calvin A. Campbell, Jr",Trustee,Illinois Institute Of Technology,,,"Chairman, President and Chief Executive Officer, Goodman Equipment Corporation",292.0,,180949307.0,145725.0,True
S. R. Cho,Trustee,Illinois Institute Of Technology,,,"Chairman, Hyosung Group Korea",292.0,,180949307.0,145725.0,True
Lewis M. Collens,President,Illinois Institute Of Technology,,,,292.0,,180949307.0,145725.0,True
Lewis M. Collens,Trustee,Illinois Institute Of Technology,,,,292.0,,180949307.0,145725.0,True
Robert A. Corog,Trustee,Illinois Institute Of Technology,,,"Chairman, President and Chief Executive Officer, Snap-on Incorporated",292.0,,180949307.0,145725.0,True
Casey Cowell,Trustee,Illinois Institute Of Technology,,,Durandal,292.0,,180949307.0,145725.0,True
James E. Cowie,Trustee,Illinois Institute Of Technology,,,"General Partner, Frontenac Co",292.0,,180949307.0,145725.0,True
Albert A. Cozzi,Trustee,Illinois Institute Of Technology,,,"President and Chief Operating Officer, Metal Management, Inc",292.0,,180949307.0,145725.0,True
Junia Doan,Trustee,Illinois Institute Of Technology,,,"General Manager, J. S. Cassell, Oil and Gas",292.0,,180949307.0,145725.0,True
Craig J. Duchossois,Trustee,Illinois Institute Of Technology,,,"Chief Executive Officer, Duchossois Industries, Inc",292.0,,180949307.0,145725.0,True
Bryan R. Dunn,Trustee,Illinois Institute Of Technology,,,"President and Chief Executive Officer, Kinship Corporation",292.0,,180949307.0,145725.0,True
Jay A. Fisher,Trustee,Illinois Institute Of Technology,,,"Manager, Research and Development, Amoco Chemicals, Feedstocks Business Group",292.0,,180949307.0,145725.0,True
Marshall B. Front,Trustee,Illinois Institute Of Technology,,,"Chairman and Managing Director, Trees Front Associates, Inc",292.0,,180949307.0,145725.0,True
Michael P. Galvin,Trustee,Illinois Institute Of Technology,,,"President, Galvin Enterprises, Inc",292.0,,180949307.0,145725.0,True
Robert W. Galvin,Trustee,Illinois Institute Of Technology,,,"Executive Committee Chairman, Motorola, Inc",292.0,,180949307.0,145725.0,True
Alvin L. Gorman,Trustee,Illinois Institute Of Technology,,,"Chairman of the Board, Power Contracting and Engineering Corp",292.0,,180949307.0,145725.0,True
Donald E. Goss,Trustee,Illinois Institute Of Technology,,,,292.0,,180949307.0,145725.0,True
Jeffery T. Grade,Trustee,Illinois Institute Of Technology,,,,292.0,,180949307.0,145725.0,True
Robert L. Growney,Trustee,Illinois Institute Of Technology,,,"President and Chief Operating Officer, Motorola, Inc",292.0,,180949307.0,145725.0,True
Theodore E. Hanson,Trustee,Illinois Institute Of Technology,,,,292.0,,180949307.0,145725.0,True
Albert K. Hawkes,Trustee,Illinois Institute Of Technology,,,"Managing Director, Software Engineering Associates, Inc",292.0,,180949307.0,145725.0,True
Robert L. Heidrick,Trustee,Illinois Institute Of Technology,,,"Partner, Heidrick & Struggles",292.0,,180949307.0,145725.0,True
"James Hill, Jr",Trustee,Illinois Institute Of Technology,,,"Managing Partner, Hill, Taylor & Company Certified Public Accountants",292.0,,180949307.0,145725.0,True
Deborah C. Hockman,Trustee,Illinois Institute Of Technology,,,"Vice President, Operations, Silliker Laboratories Group, Inc",292.0,,180949307.0,145725.0,True
Donald R. Hollis,Trustee,Illinois Institute Of Technology,,,"President, DRH Strategic Consulting Inc",292.0,,180949307.0,145725.0,True
Richard M. Jaffee,Trustee,Illinois Institute Of Technology,,,"Chairman and Chief Executive Officer, Oil-Dri Corporation of America",292.0,,180949307.0,145725.0,True
Robert M. Janowiak,Trustee,Illinois Institute Of Technology,,,"Executive Director, Internationa Engineering Consortium",292.0,,180949307.0,145725.0,True
Norbert O. Kaiser,Trustee,Illinois Institute Of Technology,,,"President, Kamco Plastics",292.0,,180949307.0,145725.0,True
Edward L. Kaplan,Trustee,Illinois Institute Of Technology,,,Chief Executive Officer and ChairmanZebra Technologies Corporation,292.0,,180949307.0,145725.0,True
James W. Kiley,Trustee,Illinois Institute Of Technology,,,"Managing Director in Charge, Chicago Office, Weiss, Peck and Greer, L.L.C",292.0,,180949307.0,145725.0,True
Jules F. Knapp,Trustee,Illinois Institute Of Technology,,,"Chairman and President, United Coatings, Inc",292.0,,180949307.0,145725.0,True
Kaarina Koskenalusa,Trustee,Illinois Institute Of Technology,,,"President and Chief Executive Officer, The Executives' Club of Chicago",292.0,,180949307.0,145725.0,True
"John H. Krehbiel, Jr.",Trustee,Illinois Institute Of Technology,,,"Co-Chairman and Co-Chief Executive Officer, Molex Incorporated",292.0,,180949307.0,145725.0,True
Thomas E. Lanctot,Trustee,Illinois Institute Of Technology,,,"Partner, Gardner, Carton & Douglas",292.0,,180949307.0,145725.0,True
John D. La Sage,Trustee,Illinois Institute Of Technology,,,"President and Chief Executive Officer, Central Region, Chicago, Burson-Marsteller",292.0,,180949307.0,145725.0,True
Bruce C. Limatainen,Trustee,Illinois Institute Of Technology,,,"President, A. Finkl & Sons Co",292.0,,180949307.0,145725.0,True
"Homer J. Livingston, Jr",Trustee,Illinois Institute Of Technology,,,"President and Chief Executive Officer, Chicago Stock Exchange",292.0,,180949307.0,145725.0,True
Dirk Lohan,Trustee,Illinois Institute Of Technology,,,"President and Chief Executive Officer, Lohan Associates, Inc",292.0,,180949307.0,145725.0,True
Gordon R. Lohman,Vice Chairman,Illinois Institute Of Technology,,,"Chairman and Chief Executive Officer, AMSTED Industries Incorporated",292.0,,180949307.0,145725.0,True
John W. Madigan,Vice Chairman,Illinois Institute Of Technology,,,"Chairman, President and Chief Executive Officer, Tribune Company",292.0,,180949307.0,145725.0,True
Peter I. Mason,Trustee,Illinois Institute Of Technology,,,"President, Talus Advisors, LLC",292.0,,180949307.0,145725.0,True
Stephen G. McConahey,Trustee,Illinois Institute Of Technology,,,"President and Chief Operating Officer, EVEREN Securities, Inc",292.0,,180949307.0,145725.0,True
Daniel E. McLean,Trustee,Illinois Institute Of Technology,,,"President and Chief Executive Officer, MCL Companies",292.0,,180949307.0,145725.0,True
Victor A. Morgenstern,Trustee,Illinois Institute Of Technology,,,"Chairman, Harris Associates LP",292.0,,180949307.0,145725.0,True
Walter Nathan,Trustee,Illinois Institute Of Technology,,,"Chairman, RTC Industries, Inc",292.0,,180949307.0,145725.0,True
Robert J. Potter,Trustee,Illinois Institute Of Technology,,,R. J. Potter Company,292.0,,180949307.0,145725.0,True
Robert A. Pritzker,Chairman,Illinois Institute Of Technology,,,"President and Chief Executive Officer, The Marmon Group, Inc",292.0,,180949307.0,145725.0,True
Ellen Jordan Reidy,Trustee,Illinois Institute Of Technology,,,"President, America's Food Technologies, Inc",292.0,,180949307.0,145725.0,True
Sheli Z. Rosenberg,Trustee,Illinois Institute Of Technology,,,"President and Chief Executive Officer, Equity Group Investments, Inc",292.0,,180949307.0,145725.0,True
The Hon. Ilana D. Rovner,Trustee,Illinois Institute Of Technology,,Bryn Maw 1960 AB; Chicago-Kent 1966 JD,"Judge, United States Court of Appeals for the Seventh Circuit",292.0,,180949307.0,145725.0,True
John R. Schmidt,Trustee,Illinois Institute Of Technology,,,"Partner, Mayer, Brown & Platt",292.0,,180949307.0,145725.0,True
Carole Browe Segal,Trustee,Illinois Institute Of Technology,,,"Vice President, Civic Affairs, Crate & Barrel",293.0,,180949307.0,145725.0,True
Hoken S. Seki,Trustee,Illinois Institute Of Technology,,,"Partner, Foley & Lardner",293.0,,180949307.0,145725.0,True
Bernard F. Sergesketter,Trustee,Illinois Institute Of Technology,,,"President, Sergesketter & Associates Inc",293.0,,180949307.0,145725.0,True
Fidelis N. Umeh.,Trustee,Illinois Institute Of Technology,,,"President and Chief Executive Officer, SEI Information Technology",293.0,,180949307.0,145725.0,True
"William A. VanSanten, Jr.",Trustee,Illinois Institute Of Technology,,,"Partner, Wood, Phillips, Van Santen, Clark & Mortimer",293.0,,180949307.0,145725.0,True
David J. Vitale,Trustee,Illinois Institute Of Technology,,Harvard 1968 BA; Chicago 1976 MBA,"Vice Chairman, Bank One Corporation",293.0,,180949307.0,145725.0,True
Barry R. Wallach.,Trustee,Illinois Institute Of Technology,,,"U.S. Managing Partner, Operations, Andersen Worldwide",293.0,,180949307.0,145725.0,True
Susan M. Whitney.,Trustee,Illinois Institute Of Technology,,,"Vice President, Server Marketing, IBM Corporation",293.0,,180949307.0,145725.0,True
"Victor J. Boschini, Jr",President,Illinois State University,,Indiana EdD,,293.0,,47301684.0,145813.0,True
Al Goldfarb,Provost,Illinois State University,,CUNY PhD,,293.0,,47301684.0,145813.0,True
Al Goldfarb,Vice President,Illinois State University,,CUNY PhD,,293.0,,47301684.0,145813.0,True
Elizabeth A. Chapman,Associate Provost,Illinois State University,,USC PhD,,293.0,,47301684.0,145813.0,True
Stephen M. Bragg,"Vice President, Business and Finance",Illinois State University,,Penn State EdD,,293.0,,47301684.0,145813.0,True
Susan Kern,"Vice President, Institutional Advancement",Illinois State University,,Purdue PhD,,293.0,,47301684.0,145813.0,True
Susan Kern,"Executive Director, Illinois State University Foundation",Illinois State University,,Purdue PhD,,293.0,,47301684.0,145813.0,True
Sharon E. Stanford.,"Associate Vice President, Academic Administrative Services",Illinois State University,,Illinois State PhD,,293.0,,47301684.0,145813.0,True
W. Eric Thomas,"Associate Vice President, Instruction",Illinois State University,,Meharry Medical PhD,Member of the Board,293.0,,47301684.0,145813.0,True
W. Eric Thomas,"Dean, Undergraduate Studies",Illinois State University,,Meharry Medical PhD,Member of the Board,293.0,,47301684.0,145813.0,True
Sandra Little,"Associate Vice President, Research",Illinois State University,Graduate Studies,Penn State PhD,,293.0,,47301684.0,145813.0,True
Sandra Little,Deangraduate Studies (Acting),Illinois State University,Graduate Studies,Penn State PhD,,293.0,,47301684.0,145813.0,True
Cheryl A. Elzy,"Dean, University Libraries",Illinois State University,University Libraries,Illinois CAS,,293.0,,47301684.0,145813.0,True
David R. Mathis,"Executive Director, University Communications",Illinois State University,,William & Mary EdD,,293.0,,47301684.0,145813.0,True
Steven L. Adams,"Director, Admissions",Illinois State University,,Illinois Wesleyan BS,,293.0,,47301684.0,145813.0,True
Linda Herman,"Director, Intercollegiate Athletics (Acting)",Illinois State University,,Illinois State PhD,,293.0,,47301684.0,145813.0,True
Pamela Mammond-McDavid,"Director, Student and Alumni Placement Services",Illinois State University,,,,293.0,,47301684.0,145813.0,True
Robert Rossman,Dean,Illinois State University,College of Applied Science and Technology,Illinois PhD,,293.0,,47301684.0,145813.0,True
Paul T. Schollaert,Dean,Illinois State University,College of Arts and Sciences,Wisconsin PhD,,293.0,,47301684.0,145813.0,True
Dixie L. Mills,Dean,Illinois State University,College of Business,Cincinnati PhD,,293.0,,47301684.0,145813.0,True
Sally B. Pancrazio,Dean,Illinois State University,College of Education,Illinois EdD,,293.0,,47301684.0,145813.0,True
"Roosevelt Newson, Jr",Dean,Illinois State University,College of Fine Arts,,,293.0,,47301684.0,145813.0,True
Nancy Ridenour,Dean,Illinois State University,Mennonite College of Nursing,Texas Tech PhD,,293.0,,47301684.0,145813.0,True
G. Thomas Andes,Trustee,Illinois State University,,,"Magna Group IncBelleville, IL",293.0,,47301684.0,145813.0,True
Jaime Flores,Trustee,Illinois State University,,,"Inroads, S.W. Michigan IncChicago, IL",293.0,,47301684.0,145813.0,True
Nancy Froelich,Trustee,Illinois State University,,,"Metzler-Frolich Memorial Home Bloomington, IL",293.0,,47301684.0,145813.0,True
Diane Glenn,Trustee,Illinois State University,,,"Community Bank of Lawndale Chicago, IL",293.0,,47301684.0,145813.0,True
Jack Huggins,Trustee,Illinois State University,,,"Pekin Energy Company Pekin, IL",293.0,,47301684.0,145813.0,True
Carl E. Kasten,Trustee,Illinois State University,,,"Phelps, Kasten, Royle, Burns, Carmody & Sims, Attorneys at Law Carlinville, IL",293.0,,47301684.0,145813.0,True
William D. Sulaski,Chairman,Illinois State University,,,"Sulaski & Webb CPA Bloomington, IL",293.0,,47301684.0,145813.0,True
"Minor Myers, Jr",President,Illinois Wesleyan University,,Carleton 1964; Princeton 1967 MA,"Professor and Department Chairman, Connecticut College; Provost, Dean of Faculty and Professor, Political Science, Hobart and William Smith Colleges",294.0,,184616310.0,145646.0,False
Carl F. Teichman,Assistant,Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Janet McNew,Provost,Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Janet McNew,Dean Of The Faculty,Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Roger H. Schnaitter,Associate Provost,Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Kenneth C. Browning,"Vice President, Business and Finance",Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Bichard B. Whitlock,"Vice President, University Advancement",Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
James R. Ruoti,"Dean, Admissions",Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Jim Matthews,Dean of Students,Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Benjamin S. Rhodes,"Director, Development",Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Stew Salowitz,"Director, News Services",Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Bob Aaron,"Director, University Communications",Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Lou Ann Fillingham,Controller,Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Susan E. Stroyan,University Librarian,Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Miles Bair,Director,Illinois Wesleyan University,School of Art,,,294.0,,184616310.0,145646.0,False
Mario Pelusi,Director,Illinois Wesleyan University,School of Music,,,294.0,,184616310.0,145646.0,False
Donna Hartweg,Director,Illinois Wesleyan University,School of Nursing,,,294.0,,184616310.0,145646.0,False
Nancy Loitz,Director,Illinois Wesleyan University,School of Theater Arts,,,294.0,,184616310.0,145646.0,False
Kenneth E. Anderson,Trustee,Illinois Wesleyan University,,,"Agent, State Farm Mutual Insurance Companies",294.0,,184616310.0,145646.0,False
"Victor E. Armstrong, Jr",Trustee,Illinois Wesleyan University,,,"President, The Armstrong Company",294.0,,184616310.0,145646.0,False
Cathy T. Carswell,Trustee,Illinois Wesleyan University,,,"President, Kappa Kappa Gamma Scarsdale, NY",294.0,,184616310.0,145646.0,False
Ronald B. Cate,Trustee,Illinois Wesleyan University,,,"Senior Director, Human Resources, Ameritech Services, Inc",294.0,,184616310.0,145646.0,False
Sharon Brown Christopher,Trustee,Illinois Wesleyan University,,,"Bishop, Illinois Great Rivers Conference, United Methodist Church Springfield, IL",294.0,,184616310.0,145646.0,False
Michael A. Clark,Trustee,Illinois Wesleyan University,,,"Attorney, Sidley & Austin",294.0,,184616310.0,145646.0,False
Robert E. Davis,Trustee,Illinois Wesleyan University,,,"President, R. E. Davis Chemical Corporation",294.0,,184616310.0,145646.0,False
Gilbert L. Dorsey,Trustee,Illinois Wesleyan University,,,"Vice Chairman, The Eureka Company",294.0,,184616310.0,145646.0,False
Gary A. Egbers,Trustee,Illinois Wesleyan University,,,"President, Commercial Packaging, Inc",294.0,,184616310.0,145646.0,False
Sharon Neufer Emswiler,Trustee,Illinois Wesleyan University,,,"Pastor, Wesley United Methodist Church and Foundation",294.0,,184616310.0,145646.0,False
Robert E. Field II,Treasurer,Illinois Wesleyan University,,,"Attorney, Golan & Swiger",294.0,,184616310.0,145646.0,False
David Gaffron,Trustee,Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Herbert A. Getz,Trustee,Illinois Wesleyan University,,,"Senior Vice President, WMX Technologies, Inc",294.0,,184616310.0,145646.0,False
Craig C. Hart,Board President,Illinois Wesleyan University,,,"President and Chief Executive Officer, Champion Federal Savings and Loan",294.0,,184616310.0,145646.0,False
Merrick C. Hayes,Trustee,Illinois Wesleyan University,,,"Attorney, Hayes, Hammer, Miles, Cox & Ginzkey",294.0,,184616310.0,145646.0,False
Catherine K. Johnson,Trustee,Illinois Wesleyan University,,,"President, H.J.H., Inc",294.0,,184616310.0,145646.0,False
John E. Jordan,Trustee,Illinois Wesleyan University,,,"Executive Director, YMCA at University of Illinois",294.0,,184616310.0,145646.0,False
Roger S. Joslin,Trustee,Illinois Wesleyan University,,,"Vice Chairman, State Farm Mutual Insurance Companies",294.0,,184616310.0,145646.0,False
Garry D. Kinder,Trustee,Illinois Wesleyan University,,,"Chairman, Kinder Brothers and Associates",294.0,,184616310.0,145646.0,False
Rebie R. Kingston,Trustee,Illinois Wesleyan University,,,"Director, Office of Guidance, Detroit Public Schools",294.0,,184616310.0,145646.0,False
Wonmi Kwon,Trustee,Illinois Wesleyan University,,,"Founder and President, Power Enterprises",294.0,,184616310.0,145646.0,False
Kathy Larey Lewton,Trustee,Illinois Wesleyan University,,,"Senior Vice President, Porter/Novelli",294.0,,184616310.0,145646.0,False
"John W. Maitland, Jr",Trustee,Illinois Wesleyan University,,,"Senator, State of Illinois",294.0,,184616310.0,145646.0,False
"Thomas C. McKinney, Jr.",Trustee,Illinois Wesleyan University,,,"Pediatrician, St. Louis Pediatric Association",294.0,,184616310.0,145646.0,False
William R. Molinari,Trustee,Illinois Wesleyan University,,,"President, Distribution Company, Van Kampen American Capital",294.0,,184616310.0,145646.0,False
"Minor Myers, Jr",Trustee,Illinois Wesleyan University,,,,294.0,,184616310.0,145646.0,False
Robert M. Reardon,President,Illinois Wesleyan University,,,Ophthalmologist,294.0,,184616310.0,145646.0,False
Robert M. Reardon,Trustee,Illinois Wesleyan University,,,Ophthalmologist,294.0,,184616310.0,145646.0,False
John W. Remo,Trustee,Illinois Wesleyan University,,,"Diagnostic Radiologist, Diagnostic Medical Imaging, Inc",294.0,,184616310.0,145646.0,False
"Edward B. Rust, Jr",Trustee,Illinois Wesleyan University,,,"Chairman and Chief Executive Officer, State Farm Mutual Insurance Companies",294.0,,184616310.0,145646.0,False
James A. Shirk,Trustee,Illinois Wesleyan University,,,"Pediatrician, The Carbondale Clinic",295.0,,184616310.0,145646.0,False
Sidney G. Smith,Trustee,Illinois Wesleyan University,,,,295.0,,184616310.0,145646.0,False
Anne Colwell Tryon,Trustee,Illinois Wesleyan University,,,Businesswoman and Civic Volunteer,295.0,,184616310.0,145646.0,False
Richard E. Vial,Trustee,Illinois Wesleyan University,,,"Owner, Vial Farm Management",295.0,,184616310.0,145646.0,False
George A. Vinyard,Trustee,Illinois Wesleyan University,,,"Of Counsel, Sachnoff & Weaver LtdChicago, IL",295.0,,184616310.0,145646.0,False
