Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
Theodore L. Schroeder,Trustee,Case Western Reserve University,,,"Vice President, Engineering, FreeHand Systems, Inc",,,,,58956616.0,201645.0,,,Trustee,True,
Alan L. Schwartz,Trustee,Case Western Reserve University,,,"Chairman, Department of Pediatrics, School of Medicine, Washington University",,,,,58956616.0,201645.0,,,Trustee,True,
Barbara R. Snyder,Ex Officio Trustee,Case Western Reserve University,,,,,,,,58956616.0,201645.0,,,"Trustee, Ex Officio",True,
Andrew Wasynczuk,Trustee,Case Western Reserve University,,,"Senior Lecturer, Business Administration, Harvard Business School",,,,,58956616.0,201645.0,,,Trustee,True,
Scott A. Wolstein,Trustee,Case Western Reserve University,,Wharton 1974 BS; Michigan,"Chairman and Chief Executive Officer, Developers Diversified Realty Corporation",,,,,58956616.0,201645.0,,,Trustee,True,
Joseph P. Keithley,Trustee,Case Western Reserve University,,"Cornell 1971 BS, 1972 ME; Michigan MBA Gigi","Chairman, President and Chief Executive Officer, Keithley Instruments, Inc",,,,,58956616.0,201645.0,,,Trustee,True,
Susie Gharib,Trustee,Case Western Reserve University,,Case Western 1972 BA; Columbia 1974 MIA,"Co-Anchor, Nightly Business Report",,,,,58956616.0,201645.0,,,Trustee,True,
Mary Ann Jorgenson,Trustee,Case Western Reserve University,,Agnes Scott 1963 AB; Case Western 1975 JD,"Partner, Squire, Sanders & Dempsey L.L.P",,,,,58956616.0,201645.0,,,Trustee,True,
Jennie S. Hwang,Trustee,Case Western Reserve University,,Case Western 1976 PhD,"President and Chief Executive Officer, Asahi America, Inc",,,,,58956616.0,201645.0,,,Trustee,True,
Thalia Dorwick,Trustee,Case Western Reserve University,,,"Vice President and Editor-in-Chief, Humanities, Social Sciences, Foreign Language and ESOL, McGraw-Hill Higher Education, The McGraw-Hill Companies, Inc",,,,,58956616.0,201645.0,,,Trustee,True,
James C DiGas,Trustee,Case Western Reserve University,,"Case Western 1970 BA, 1973 JD","Senior Vice President, General Counsel and Secretary, PPG Industries, Inc",,,,,58956616.0,201645.0,,,Trustee,True,
David A. Daberko,Trustee,Case Western Reserve University,,Denison 1967 BA; Case Western 1970 MBA,"Chairman and Chief Executive Officer, National City Corporation (1995-2007)",,,,,58956616.0,201645.0,,,Trustee,True,
Archie G. Co,Trustee,Case Western Reserve University,,Case Western 1963 BS A,"President and Chief Executive Officer, Giza Bellevue Hotel, Ltd",,,,,58956616.0,201645.0,,,Trustee,True,
Kenneth B. Chance,Trustee,Case Western Reserve University,,Fordham BS; Case Western 1979 DDS,"Professor and Chief, Endodontics",,,,,58956616.0,201645.0,,,Trustee,True,
Joie A. Gregor,Vice Chairman,Case Western Reserve University,,Case Western 1974 MA; Stanford 1983 MS,,,,,,58956616.0,201645.0,,,Board Vice President,True,
John P. Campi,Trustee,Case Western Reserve University,,Indiana 1966 BS; Case Western 1988 MBA,,,,,,58956616.0,201645.0,,,Trustee,True,
Timothy J. Callahan,Vice Chairman,Case Western Reserve University,,,"President, MCT Corporation",,,,,58956616.0,201645.0,,,Board Vice President,True,
William E. Bruner II,Trustee,Case Western Reserve University,,,,,,,,58956616.0,201645.0,,,Trustee,True,
"Linda Burnes Bolton, RN, FAAN",Trustee,Case Western Reserve University,,Arizona State,,,,,,58956616.0,201645.0,,,Trustee,True,
James L. Bildner,Trustee,Case Western Reserve University,,Dartmouth 1975 AB; Case Western 1979 JD,"Founder and Chairman, The Literary Ventures Fund, Inc., 30 Rowes Wharf, Boston, MA 02110",,,,,58956616.0,201645.0,,,Trustee,True,
Virginia N. Barbato,Trustee,Case Western Reserve University,,Case Western 1972 BA,"President, Nord Family Foundation 747 Milan Avenue, Amherst, OH 44001",,,,,58956616.0,201645.0,,,Trustee,True,
George N. Aronoff,Trustee,Case Western Reserve University,,"Case Western 1956 BA, 1958 LLB","Ex-Officio Member, Benesch, Friedlander, Coplan & Aronoff LLP 200 Public Square, Suite 2300, Cleveland, OH 44114-2378",,,,,58956616.0,201645.0,,,Trustee,True,
Sally Gries,Trustee,Case Western Reserve University,,,"Chairperson, President and Chief Executive Officer, Gries Financial LLC",,,,,58956616.0,201645.0,,,Trustee,True,
Peter S. Hellman,Trustee,Case Western Reserve University,,Hobart 1972 BA; Case Western 1984 MBA,,,,,,58956616.0,201645.0,,,Trustee,True,
David P. Hunt,Vice Chairman,Case Western Reserve University,,,"Chairman of the Board, Newpark Resources, Inc",,,,,58956616.0,201645.0,,,Board Vice President,True,
Samir N. Jadallah,Trustee,Case Western Reserve University,,,"Partner, Mohr, Davidow Ventures",,,,,58956616.0,201645.0,,,Trustee,True,
Antony E. Champ,Trustee,Case Western Reserve University,,,"Owner, White Hall Vineyards",,,,,58956616.0,201645.0,,,Trustee,True,
Richard D. Banziger,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Michael J. Bransfield,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Archbishop Donald W. Wuerl,Ex Officio Trustee,Catholic University Of America,,,"Chairman, United States Conference of Catholic Bishops' Committee",,,,,84470341.0,131283.0,,,"Trustee, Ex Officio",True,
Jose H. Gomez,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
"Cardinal Francis George, OMI",Trustee,Catholic University Of America,,"Ottawa U 1964 BTh; Catholic U 1965 MA;
Tulane 1970 PhD; Ottawa U 1971 MA;
Pontifical Urbaniana 1989 STD",,,,,,84470341.0,131283.0,,,Trustee,True,
The Most Reverend Harry J. Flynn,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
"Sister Margaret Mary Fitzpatrick, SC",Trustee,Catholic University Of America,,,"President and Chief Executive Officer, St. Thomas
Aquinas College
vehull 3 vol
125 Route 340, Sparkill, NY 10976-1050
Tel: (845) 398-4147",,,,,84470341.0,131283.0,,,Trustee,True,
Frederick R. Favo,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
John C. Favalora,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Cardinal Edward Egan,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Thomas G. Doran,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
David A. Donohoe,Vice Chairman,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Board Vice President,True,
Wilton D. Gregory,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
The Most Reverend Timothy Michael Dolan,Trustee,Catholic University Of America,,Cardinal Glennon BA,,,,,,84470341.0,131283.0,,,Trustee,True,
Leo A. Daly III,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Edward P. Cullen,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Robert J. Crimmins,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Robert E. Craves,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Robert F. Comstock,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Paul J. Chiapparone,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
"Charles J. Chaput, OFM, CAP",Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Timothy R. Busch,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Raymond L. Burke,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
His Eminence Cardinal Daniel N. DiNardo,Trustee,Catholic University Of America,,,"Bishop, Archdiocese of Galveston-Houston
1700 San Jacinto, Houston, TX 77002
Tel: (713) 659-5461",,,,,84470341.0,131283.0,,,Trustee,True,
Ray J. Hillenbrand,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Michael P. Hoffman,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
William E. Lori,Chairman,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Board President,True,
Allen H. Vigneron,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Mark H. Tuohey III,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
"Anthony R. Tersigni, FACHE",Trustee,Catholic University Of America,,,"President and Chief Executive Officer, Ascension Health",,,,,84470341.0,131283.0,,,Trustee,True,
Victor P. Smith,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Rodger D. Shay,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
The Most Reverend Aurthur J. Serratelli,Trustee,Catholic University Of America,,Seton Hall 1965 BA; Pontifical Gregorian (Italy) DD,"Bishop, Diocese of Paterson",,,,,84470341.0,131283.0,,,Trustee,True,
Timothy C. Scheve,Trustee,Catholic University Of America,,,"President and Chief Executive Officer, Janney
Montgomery Scott LLC
1801 Market St., Philadelphia, PA 19103-1675
Tel: (215) 665-6000",,,,,84470341.0,131283.0,,,Trustee,True,
Walter R. Rossi,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Andrea Roane,Trustee,Catholic University Of America,,"LSU BA, MA",,,,,,84470341.0,131283.0,,,Trustee,True,
Cardinal Justin Rigali,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Neil J. Rauenhorst,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Joseph A. Pepe,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
William G. Parrett,Trustee,Catholic University Of America,,St Francis Col (NY) 1967,,,,,,84470341.0,131283.0,,,Trustee,True,
"Sean P. O'Malley, OFM, CAP",Trustee,Catholic University Of America,,,"Archbishop, Archdiocese of Boston
2121 Commonwealth Avenue, Boston, MA 02135
Tel: (617) 782-2544",,,,,84470341.0,131283.0,,,Trustee,True,
"David M. O'Connell, CM",Ex Officio Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,"Trustee, Ex Officio",True,
The Most Reverend John J. Myers,Trustee,Catholic University Of America,,,"Archbishop, Archdiocese of Newark
171 Clifton Avenue, Newark, NJ 07104-0500
Tel: (973) 497-4126",,,,,84470341.0,131283.0,,,Trustee,True,
William F. Murphy,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Sandra Andreas McMurtrie,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
"William J. McKenna, Jr",Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Cardinal Adam Maida,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Cardinal Roger Mahony,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Carl A. Anderson,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Bertha Braddock,Trustee,Catholic University Of America,,,,,,,,84470341.0,131283.0,,,Trustee,True,
Brian W. Fannon,Trustee,Central Michigan University,,,"Consultant, Strategic Operational Solutions, LL.C",,,,,1629065.0,169248.0,,,Trustee,True,
Gail F. Torreano,Trustee,Central Michigan University,,,"President, AT&T of Michigan",,,,,1629065.0,169248.0,,,Trustee,True,
Jacqueline N. Garrett,Trustee,Central Michigan University,,,,,,,,1629065.0,169248.0,,,Trustee,True,
Marilyn French Hubbard,Trustee,Central Michigan University,,,"Corporate Vice President and Chief Diversity Officer, Henry Ford Health Systems, Inc",,,,,1629065.0,169248.0,,,Trustee,True,
Roger L. Kesseler,Special Counsel,Central Michigan University,,,,,,,,1629065.0,169248.0,,,Other Board Member,True,
Sam R. Kottamasu,Trustee,Central Michigan University,,,,,,,,1629065.0,169248.0,,,Trustee,True,
John G. Kulhavi,Vice Chairman,Central Michigan University,,,"Senior Vice President, Merrill Lynch & Co., Inc",,,,,1629065.0,169248.0,,,Board Vice President,True,
Michael Rao,Ex Officio Trustee,Central Michigan University,,,,,,,,1629065.0,169248.0,,,"Trustee, Ex Officio",True,
Jeffrey R. Caponigro,Chairman,Central Michigan University,,,"President and Chief Executive Officer, Caponigro Public Relations Inc",,,,,1629065.0,169248.0,,,Board President,True,
Stephanie Comai,Trustee,Central Michigan University,,,"Consultant, Comai Consulting, LLC",,,,,1629065.0,169248.0,,,Trustee,True,
George L. Argyros,Trustee,Chapman University,,Chapman 1959 BA,"U.S. Ambassador to Spain, Embassy of the United States, United States Department of State, George W. Bush Administration (2001-2004)",,,,,185071736.0,111948.0,,,Trustee,True,
Zelma M. Allred,Assistant Secretary,Chapman University,,,,,,,,185071736.0,111948.0,,,Other Board Member,True,
Harry S. Rinker,Trustee,Chapman University,,,"Chairman of the Board, Rinker Company",,,,,185071736.0,111948.0,,,Trustee,True,
Dennis Assael,Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
Wylie Aitken,Trustee,Chapman University,,,"Chairman of the Board, Pool Water Products",,,,,185071736.0,111948.0,,,Trustee,True,
Adam Riffe,Ex Officio Trustee,Chapman University,,Chapman 1995,,,,,,185071736.0,111948.0,,,"Trustee, Ex Officio",True,
Nancy Baldwin,Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
Raghbir Bhathal,Trustee,Chapman University,,,"Chairman and Chief Executive Officer, RAJ Manufacturing Inc2692 Dow Avenue, Tustin, CA 92780",,,,,185071736.0,111948.0,,,Trustee,True,
Charles D. Martin,Trustee,Chapman University,,,"General Partner, Enterprise Partners Venture Capital",,,,,185071736.0,111948.0,,,Trustee,True,
James V. Mazzo,Trustee,Chapman University,,,"Chairman of the Board and Chief Executive Officer, Board of Directors, Advanced Medical Optics, Inc",,,,,185071736.0,111948.0,,,Trustee,True,
Randall R. McCardle,Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
Sebastian Paul Musco,Trustee,Chapman University,,,"Chairman of the Board, Philips Accessories",,,,,185071736.0,111948.0,,,Trustee,True,
David W. Wilson,Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
Rev. Denny Williams,Ex Officio Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,"Trustee, Ex Officio",True,
Karen R. Wilkinson,Trustee,Chapman University,,Chapman 1969,"Department of Liberal Studies, Kettering University",,,,,185071736.0,111948.0,,,Trustee,True,
Daniel D. Villanueva,Trustee,Chapman University,,New Mexico State,"Managing Partner, Fontis Capital Partners",,,,,185071736.0,111948.0,,,Trustee,True,
R. David Threshie,Trustee,Chapman University,,,"Publisher, Orange County Register (1971-1999)",,,,,185071736.0,111948.0,,,Trustee,True,
Ronald E. Soderling,Trustee,Chapman University,,Woodbury 1957,"Owner and Senior Partner, RESCO",,,,,185071736.0,111948.0,,,Trustee,True,
Donald E. Sodaro,Trustee,Chapman University,,,"Chairman, Hanford Hotels, Inc",,,,,185071736.0,111948.0,,,Trustee,True,
Rev. Stanley D. Smith,Ex Officio Trustee,Chapman University,,,Chairman,,,,,185071736.0,111948.0,,,"Trustee, Ex Officio",True,
James Ronald Sechrist,Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
Allen L. Sessoms,Trustee,Chapman University,,Union Col (NY) 1968 BS; U Washington 1969 MS; Yale 1972 PhD,,,,,,185071736.0,111948.0,,,Trustee,True,
Loretta Sanchez,Trustee,Chapman University,,Chapman 1982 BS; American U 1984 MBA,"Representative (D), California",,,,,185071736.0,111948.0,,,Trustee,True,
Edward R. Royce,Trustee,Chapman University,,Cal State (Fullerton) 1977 BA,,,,,,185071736.0,111948.0,,,Trustee,True,
James B. Roszak,Trustee,Chapman University,,,"President, Life Insurance Division, Transamerica Corporation",,,,,185071736.0,111948.0,,,Trustee,True,
Hadi Makarechian,Trustee,Chapman University,,,"Chairman and Chief Executive Officer, Capital Pacific Holdings, Inc. (1991-2008)",,,,,185071736.0,111948.0,,,Trustee,True,
Joann Leatherby,Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
Donald P. Kennedy,Vice Chairman,Chapman University,,Stanford 1940 AB: USC,,,,,,185071736.0,111948.0,,,Board Vice President,True,
Mark Chapin Johnson,Trustee,Chapman University,,Chapman 2005,,,,,,185071736.0,111948.0,,,Trustee,True,
"Rev. H. Ben Bohren, Jr.",Ex Officio Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,"Trustee, Ex Officio",True,
Sheryl A. Bourgeois,Ex Officio Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,"Trustee, Ex Officio",True,
Phillip H. Case,Trustee,Chapman University,,,"Chief Executive Officer, Rondell Homes",,,,,185071736.0,111948.0,,,Trustee,True,
Arlene R. Craig,Trustee,Chapman University,,,"President, The Betty L. Hutton Company",,,,,185071736.0,111948.0,,,Trustee,True,
Jerome W. Cwiertnia,Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
Rev. Don Dewey,Ex Officio Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,"Trustee, Ex Officio",True,
Kristina Dodge,Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
James L. Doti,Ex Officio Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,"Trustee, Ex Officio",True,
Marta S. Bhathal,Ex Officio Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,"Trustee, Ex Officio",True,
Paul F. Folino,Vice Chairman,Chapman University,,Central Washington BA; Seattle MBA,,,,,,185071736.0,111948.0,,,Board Vice President,True,
Rebecca Hall,Ex Officio Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,"Trustee, Ex Officio",True,
Michael K. Hayde,Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
David C. Henley,Trustee,Chapman University,,,"President, Henley Publishing Corporation",,,,,185071736.0,111948.0,,,Trustee,True,
Doy B. Henley,Executive Vice Chairman,Chapman University,,,"President, Aeromil Engineering",,,,,185071736.0,111948.0,,,Board Vice President,True,
Roger C. Hobbs,Trustee,Chapman University,,USC BA. MA,"President, R.C. Hobbs Company1110 East Chapman Avenue, Suite 206, Orange, CA 92866",,,,,185071736.0,111948.0,,,Trustee,True,
Sarah Caton Hogan,Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
William K. Hood,Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
"David A. Janes, Sr",Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,Trustee,True,
Donna Gladson,Ex Officio Trustee,Chapman University,,,,,,,,185071736.0,111948.0,,,"Trustee, Ex Officio",True,
Cecelia Presley,Trustee,Chapman University,,,"General Partner, Motion Picture Association of America",,,,,185071736.0,111948.0,,,Trustee,True,
R. William Ide III,Trustee,Clark Atlanta University,,,"Partner, Management, MeKenna Long & Aldridge 303 Peachtree Street, NE, Suite 5300, Atlanta, GA 30308-3265",,,,,52064589.0,138947.0,,,Trustee,True,
"Isaac J. Snype, Jr",Trustee,Clark Atlanta University,,,,,,,,52064589.0,138947.0,,,Trustee,True,
"William E. Shack, Jr",Trustee,Clark Atlanta University,,,"Co-Owner, Shack-Findlay Honda",,,,,52064589.0,138947.0,,,Trustee,True,
Gregory B. Morrison,Trustee,Clark Atlanta University,,,,,,,,52064589.0,138947.0,,,Trustee,True,
Eric Mintz,Faculty Trustee,Clark Atlanta University,,,,,,,,52064589.0,138947.0,,,Trustee,True,
Michael E. Melton,Trustee,Clark Atlanta University,,,"President and Managing Director, TME Enterprises",,,,,52064589.0,138947.0,,,Trustee,True,
Elridge W. McMillan,Vice Chairman,Clark Atlanta University,Atlanta Metropolitan College,Clark Atlanta 1954 AB; Columbia 1959 MA,"Scholar-in-Residence and Education Consultant, si nerigare",,,,,52064589.0,138947.0,,,Board Vice President,True,
Ingrid Saunders Jones,Trustee,Clark Atlanta University,,,"Senior Vice President, Corporate External Affairs, The Coca-Cola Company One Coca-Cola Plaza, Atlanta, GA 30313",,,,,52064589.0,138947.0,,,Trustee,True,
Janelle Jackson,Student Trustee,Clark Atlanta University,,,,,,,,52064589.0,138947.0,,,Trustee,True,
Ernest G. Green,Trustee,Clark Atlanta University,,,"Managing Director, Lehman Brothers Inc2001 K Street, NW, Washington, DC 20006",,,,,52064589.0,138947.0,,,Trustee,True,
Lisa M. Borders,Trustee,Clark Atlanta University,,,"Senior Vice President, Cousins Properties Incorporated 188 o100) 191 Peachtree Street NE, Suite 3600, Atlanta, GA 30303-1704",,,,,52064589.0,138947.0,,,Trustee,True,
G. Lindsey Davis,Trustee,Clark Atlanta University,,,"Resident Bishop and Executive Assistant to the Bishop, North Georgia Conference of The United Methodist Church 4511 Jones Bridge Circle, Norcross, GA 30092",,,,,52064589.0,138947.0,,,Trustee,True,
"John W. Daniels, Jr",Trustee,Clark Atlanta University,,North Central Col 1969 BA; Wisconsin 1972 MS; Harvard 1974 JD,"Chairman, Executive Committee, Quarles & Brady 411 East Wisconsin Avenue, Milwaukee, WI 53202-4497 L",,,,,52064589.0,138947.0,,,Trustee,True,
"Alexander B. Cummings, Jr",Trustee,Clark Atlanta University,,Northern Illinois 1978 BS; Atlanta 1982 MBA 013 novera si,"Executive Vice President and Chief Administrative* Officer, The Coca-Cola Company One Coca-Cola Plaza, Atlanta, GA 30313",,,,,52064589.0,138947.0,,,Trustee,True,
Richard E. Colliver,Trustee,Clark Atlanta University,,,"Executive Vice President, American Honda Motor Co., Inc1919 Torrance Boulevard, Torrance, CA 90501-2746",,,,,52064589.0,138947.0,,,Trustee,True,
"Lawrence J. ""Larry"" Blanford",Trustee,Clark Atlanta University,,Cincinnati BS,"President and Chief Executive Officer, Royal Group o byso8",,,,,52064589.0,138947.0,,,Trustee,True,
Juanita Powell Baranco,Chairman,Clark Atlanta University,,,"Executive Vice President and Chief Operating Officer, The Baranco Automotive Group 4355 Highway 78, Lilburn, GA 30047",,,,,52064589.0,138947.0,,,Board President,True,
Marcell G. D. Spates,Student Trustee,Clark Atlanta University,,,,,,,,52064589.0,138947.0,,,Trustee,True,
Judy M. Anderson,Trustee,Clark Atlanta University,,,"Senior Vice President, Georgia Power Company 241 Ralph McGill Boulevard, NE, Atlanta, GA 30308",,,,,52064589.0,138947.0,,,Trustee,True,
Delores P. Aldridge,Secretary,Clark Atlanta University,,,"Grace Towns Hamilton Distinguished Professor of Sociology and American Studies, Emory University Atlanta, GA 30322-1100",,,,,52064589.0,138947.0,,,Other Board Member,True,
Charles S. Ackerman,Trustee,Clark Atlanta University,,,"President, Ackerman & Co",,,,,52064589.0,138947.0,,,Trustee,True,
"Salvador Diaz-Verson, Jr",Trustee,Clark Atlanta University,,,"President and Chief Executive Officer, Diaz- Verson Capital Investments, Inc",,,,,52064589.0,138947.0,,,Trustee,True,
Richard A. Anderson,Trustee,Clark Atlanta University,,"Murray State U BS, MBA","Group President, Global Business Services, AT&T Inc.anA rotosnil (2007)",,,,,52064589.0,138947.0,,,Trustee,True,
Ruby Thompson,Faculty Trustee,Clark Atlanta University,,,,,,,,52064589.0,138947.0,,,Trustee,True,
Alvin Trotter,Trustee,Clark Atlanta University,,,,,,,,52064589.0,138947.0,,,Trustee,True,
"Robert H. Tucker, Jr.",Trustee,Clark Atlanta University,,,"President, Integrated Logistical Support, Inc.ovitav",,,,,52064589.0,138947.0,,,Trustee,True,
Brenda Walker,Trustee,Clark Atlanta University,,,"Senior Vice President, Smith Breeden Associates",,,,,52064589.0,138947.0,,,Trustee,True,
Leonard Walker,Trustee,Clark Atlanta University,,,"Senior Vice President and Director, Business Banking, Wachovia Bank",,,,,52064589.0,138947.0,,,Trustee,True,
Carl H. Ware,Trustee,Clark Atlanta University,,,"Director, Board of Directors, Coca-Cola Bottling Co Consolidated",,,,,52064589.0,138947.0,,,Trustee,True,
Derrick M. Williams,Trustee,Clark Atlanta University,,Clark Atlanta 1965 BS; Pittsburgh 1972 MA 818 10,"Director, Finance, Delphi Product and Service Solutions, Delphi Corporation",,,,,52064589.0,138947.0,,,Trustee,True,
Carolyn M. Young,Trustee,Clark Atlanta University,,,"Member, GoodWorks Internationai, Lic",,,,,52064589.0,138947.0,,,Trustee,True,
Ramona Houston,Trustee,Clark Atlanta University,,,,,,,,52064589.0,138947.0,,,Trustee,True,
Michael J. Leffell,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Shelia Y. McCann,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Mary H. Melville,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
"Sumner B. Tilton, Jr",Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
William S. Mosakowski,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Perry R. Pero,Trustee,Clark University,,,"Vice Chairman, The Northern Trust Company (2004-2005)",,,,,130785548.0,165334.0,,,Trustee,True,
Melvin Rosenblatt,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Lauren Stiller Rikleen,Trustee,Clark University,,Brandeis 1975 BA; Boston Col 1979 JD,,,,,,130785548.0,165334.0,,,Trustee,True,
Gary S. Roboff,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Cathy C. Lasry,Trustee,Clark University,,Clark U 1983 BA,,,,,,130785548.0,165334.0,,,Trustee,True,
Virginia Sapiro,Trustee,Clark University,,"Clark UAB; Michigan MA, PhD",,,,,,130785548.0,165334.0,,,Trustee,True,
Arrien L. Schiltkamp,Trustee,Clark University,,,"Chief Executive Officer, Schiltkamp International Consultants, Inc24 West 71st Street, New York, NY 10023 Tel: (212) 579-4700",,,,,130785548.0,165334.0,,,Trustee,True,
Alan B. Sharaf,Alumni Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Robert J. Stevenish,Trustee,Clark University,,,"President and Chief Operating Officer, Modell's Sporting Goods, Inc498 7th Avenue, 20th Floor, New York, NY 10018 Tel: (212) 822-1000",,,,,130785548.0,165334.0,,,Trustee,True,
Jackalyne Pfannenstiel,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Lawrence L. Landry,Chairman,Clark University,,,,,,,,130785548.0,165334.0,,,Board President,True,
James H. Harrington,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
John Jeppson,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Fred S. Anton,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Chandler Bailey,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
David H. Chaifetz,Trustee,Clark University,,Clark U 1965 BSBA; Boston Col 1968 JD,,,,,,130785548.0,165334.0,,,Trustee,True,
Janice A. Culpepper,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Todd H. Wetzel,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Korn Dabbaransi,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Peter D. Klein,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Dennis Dimitri,Alumni Trustee,Clark University,,Clark U 1975,,,,,,130785548.0,165334.0,,,Trustee,True,
Barbara Rabinowitz Dyer,Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
Peter Eleftherakis,Alumni Trustee,Clark University,,,,,,,,130785548.0,165334.0,,,Trustee,True,
