Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,Notes,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
Paul L. Leath,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Other Board Member,,True
Duncan L. MacMillan,Governor,Rutgers State University Of New Jersey,,Montclair State 1968 BA; Rutgers (Newark) 1976 JD; NYU 1982 LLM,"Senior Vice President and General Counsel, Ingersoll-Rand Company Limited",509.0,,,102322142.0,186380.0,Trustee,,True
Eugene Michael O'Hara,Governor,Rutgers State University Of New Jersey,,Rutgers 1962 BS,,509.0,,,102322142.0,186380.0,Trustee,,True
Anne M. Thomas,Governor,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Trustee,,True
Kurt T. Borowsky,Trustee,Seton Hall University,,,"Chairman, Van Beuren Management, Inc",535.0,,,12524447.0,186584.0,Regent,,True
Monsignor John J. Gilchrist,Trustee,Seton Hall University,,,"Pastor, Holy Cross Church",535.0,,,12524447.0,186584.0,Regent,,True
Rev. Anthony Kulig,Trustee,Seton Hall University,,,"Pastor, Lady of Mount Carmel",535.0,,,12524447.0,186584.0,Regent,,True
John J. Myers,Trustee,Seton Hall University,,,Archbishop-Elect. Archdiocese of Newark,535.0,,,12524447.0,186584.0,Regent,,True
Rev. Joseph Reilly,Trustee,Seton Hall University,,,"Rector, The College Seminary, Seton Hall University",535.0,,,12524447.0,186584.0,Regent,,True
Bishop Aurthur J. Serratelli,Trustee,Seton Hall University,,,Viscar General and Moderator of the Curia Archodiocese of Newark,535.0,,,12524447.0,186584.0,Regent,,True
Thomas Sharkey,Trustee,Seton Hall University,,,"Chairman, Fleet Insurance Services",535.0,,,12524447.0,186584.0,Regent,,True
Monsignor Robert Sheeran,President,Seton Hall University,,,,535.0,,,12524447.0,186584.0,Board President,,True
Monsignor Robert Sheeran,Trustee,Seton Hall University,,,,535.0,,,12524447.0,186584.0,Regent,,True
Roger H. Boyer,Trustee,University Of Utah,,,,790.0,,,223532165.0,230764.0,Regent,,True
Gary L. Crocker,Trustee,University Of Utah,,,,790.0,,,223532165.0,230764.0,Regent,,True
Randy L. Dryer,Trustee,University Of Utah,,,,790.0,,,223532165.0,230764.0,Regent,,True
C. Hope Eccles,Vice Chairperson,University Of Utah,,,,790.0,,,223532165.0,230764.0,Board Vice President,,True
E. J. Garn,Trustee,University Of Utah,,,,790.0,,,223532165.0,230764.0,Regent,,True
Amy M. Hansen,Trustee,University Of Utah,,,,790.0,,,223532165.0,230764.0,Regent,,True
Jeff Hilton,Trustee,University Of Utah,,,,790.0,,,223532165.0,230764.0,Regent,,True
Alex Lowe,Student Body President,University Of Utah,,,,790.0,,,223532165.0,230764.0,Board President,,True
James L. Macfarlane,Chairman,University Of Utah,,,,790.0,,,223532165.0,230764.0,Board President,,True
Laura Snow,Special Assistant To The President,University Of Utah,,,,790.0,,,223532165.0,230764.0,Board President,,True
Laura Snow,Secretary,University Of Utah,,,,790.0,,,223532165.0,230764.0,Other Board Member,,True
Gloria T. Wilkinson,Trustee,University Of Utah,,,,790.0,,,223532165.0,230764.0,Regent,,True
Lee H. Burke,"Assistant To The President, Government Relations",Utah State University,,,"Partner, PricewaterhouseCoopers Prins Bernhardplein 200, 1097 JB Amsterdam, Netherlands",826.0,,,121980950.0,230728.0,Board President,,True
Lee H. Burke,Trustee,Utah State University,,,"Partner, PricewaterhouseCoopers Prins Bernhardplein 200, 1097 JB Amsterdam, Netherlands",826.0,,,121980950.0,230728.0,Regent,,True
Lester C. Essig,Trustee,Utah State University,,,,826.0,,,121980950.0,230728.0,Regent,,True
Linda Jacobson Eyre,Trustee,Utah State University,,,,826.0,,,121980950.0,230728.0,Regent,,True
L. J. Godfrey,Trustee,Utah State University,,,,826.0,,,121980950.0,230728.0,Regent,,True
Lynnette T. Hansen,Trustee,Utah State University,,,,826.0,,,121980950.0,230728.0,Regent,,True
Gayle McKeachnie,Chairman,Utah State University,,,,826.0,,,121980950.0,230728.0,Board President,,True
R. Brent Nyman,Trustee,Utah State University,,,,826.0,,,121980950.0,230728.0,Regent,,True
Dinesh C. Patel,Trustee,Utah State University,,,,826.0,,,121980950.0,230728.0,Regent,,True
Richard Shipley,Trustee,Utah State University,,,"President and Chief Executive Officer, Shipley Associates",826.0,,,121980950.0,230728.0,Regent,,True
Randy Watts,Secretary,Utah State University,,,,826.0,,,121980950.0,230728.0,Other Board Member,,True
Randy Watts,Trustee,Utah State University,,,,826.0,,,121980950.0,230728.0,Regent,,True
Peter Abrons,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Jayne G. Beker,Chair Emeritus,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Board President,,True
Martin B. Bernstein,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Samson Bitensky,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Irma R. Hilton,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Ellen J. Klausner,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Ira Kukin,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Phyllis Gelman Kukin,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Beth Myers,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Penny Randall,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Therese Rosenblatt,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Kathie Kramer Rudy,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Katherine Sachs,Chair,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Board President,,True
Samuel Skura,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Lisa Hershberg Striar,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Morry J. Weiss,Governor,Yeshiva University,Ferkauf Graduate School of Psychology,,,878.0,,,19772626.0,197708.0,Overseer,,True
Benay Lindenauer,Career Development Coordinator,Yeshiva University,Wurzweiler School of Social Work,,,878.0,,,19772626.0,197708.0,Overseer,,True
Janet Adler,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
David A. Alpert,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Edward Anfang,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Herbert Barbanel,Secretary,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Other Board Member,,True
Joseph Bartlett,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Froma Benerofe,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Madaleine Berley,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Joel Daner,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Philip P. Goodkin,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Arthur Joseph,Treasurer,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Other Board Member,,True
Saul Kagan,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Joan Sadinoff Katz,Vice Chair,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Board Vice President,,True
Lawrence A. Kobrin,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Meri Kraidman,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Ira Kukin,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Robin Hirtz Meltzer,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Joan O'Donnell,Assistant Secretary,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Other Board Member,,True
Eileen Rhulen,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Peter Rhulen,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Irving M. Rosenbaum,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
David I. Schachne,Chairman Emeritus,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Board President,,True
Elaine J. Schott,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Robert Schwalbe,Chairman,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Board President,,True
Lilly Tempelsman,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Morry J. Weiss,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
Roselyn Weitzner,Governor,Yeshiva University,Wurzweiler School of Social Work,,,879.0,,,19772626.0,197708.0,Overseer,,True
