Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
"Morton M. ""Mort"" Kondracke",Trustee,Dartmouth College,,Dartmouth 1960 AB,,233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
John H. Lynch,Ex Officio Trustee,Dartmouth College,,New Hampshire 1974 BA; Harvard 1979 MBA; Georgetown 1983 JD,"Governor, State of New Hampshire; Governor (D)State of New Hampshire (Note: On September 15, 2011Governor John Lynch announced he will not seek reelection in 2012.)",233.0,,,107672454.0,Dartmouth College,182670.0,,,"Trustee, Ex Officio",True,
"Stephen F. Mandel, Jr",Chairman,Dartmouth College,,Dartmouth 1978 AB; Harvard 1982 MBA,"Managing Director, Lone Pine Capital LLC",233.0,,,107672454.0,Dartmouth College,182670.0,,,Board President,True,
John W. Rich,Trustee,Dartmouth College,,Dartmouth 1980 BA; Duke 1984 MD; Harvard 1990 MPH,"Director, Center for Academic Public Health Practice and Chair, Department of Health Management and Policy, Drexel University",233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Trevor Rees-Jones,Trustee,Dartmouth College,,Dartmouth 1973 AB; Southern Methodist JD,"Founder and President, Chief Oil and Gas, LLC",233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
John B. Replogle,Trustee,Dartmouth College,,Dartmouth 1988 BA; Harvard 1993 MBA,,233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Dr. Jim Yong Kim,Trustee,Dartmouth College,,Brown U 1982 BA; Harvard 1901 MD. 1993 PhD,,233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Sherri C. Oberg,Trustee,Dartmouth College,,Dartmouth 1982 AB; Tuck School 1986 MBA,"President, Chief Executive Officer and Co-FounderAcusphere, Inc",233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Jeffrey R. Immelt,Trustee,Dartmouth College,,Dartmouth 1978 BS; Harvard 1982 MBA,"Chairman and Chief Executive Officer, General Electric Company",233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
R. Bradford Evans,Trustee,Dartmouth College,,Dartmouth 1964 AB; Columbia 1970 MBA,"Managing Director, Investment Banking Division, Morgan Stanley",233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
"Charles Edgar Haldeman, Jr",Trustee,Dartmouth College,,Dartmouth 1970 AB; Harvard 1974 MBA. 1974 JD,,233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Annette Gordon-Reed,Trustee,Dartmouth College,,Dartmouth 1981 AB; Harvard 1984 JD,"Professor of Law, Harvard Law School, Harvard University",233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Marye Anne Fox,Trustee,Dartmouth College,,Notre Dame Col (OH) 1969 SChem; Cleveland State 1970 MS; Dartmouth 1974 PhD,,233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Gregg L. Engles,Trustee,Dartmouth College,,Dartmouth 1979 AB; Yale 1982 JD,"Chairman, Dean Foods Company",233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Denise M. Dupre,Trustee,Dartmouth College,,"Mercersburg Acad (Mercersburg, PA) 1976; Dartmouth 1980 AB; Cornell 1983 MPS",,233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
John J. Donahoe II,Vice Chairman,Dartmouth College,,Dartmouth 1982 AB; Stanford 1986 MBA,"President and Chief Executive Officer [Interim President, eBay Marketplaces], eBay Inc",233.0,,,107672454.0,Dartmouth College,182670.0,,,Board Vice President,True,
James G. Coulter,Trustee,Dartmouth College,,Dartmouth 1982 BA; Stanford 1986 MBA,"Managing Partner, San Francisco, CA Office, TPG Capital, L.P",233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
"R. William Burgess, Jr.",Trustee,Dartmouth College,,"St Mark's (Southborough, MA) 1977; Dartmouth 1981 BA; Harvard MBA","Managing Partner, ABS Ventures",233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
"William W. ""Bill"" Helman IV",Trustee,Dartmouth College,,,"Partner, Greylock Partners",233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Gail Koziara Boudreaux,Trustee,Dartmouth College,,Dartmouth 1982 AB; Columbia 1989 MBA,,233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Peter Mark Robinson,Trustee,Dartmouth College,,Dartmouth 1979 AB; Oxford (UK) 1982 BA; Stanford 1990 MBA,"Fellow, The Hoover Institution",233.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
"Steven ""Steve"" Roth",Trustee,Dartmouth College,,Dartmouth 1962 AB; Tuck School 1963 MBA,"Chairman, Vornado Realty Trust",234.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Diana L. Taylor,Trustee,Dartmouth College,,"Dartmouth 1977 AB; Columbia 1980 MBA, MPH","Managing Director, Wolfensohn & Company, L.L.C1350 Avenue of the Americas, 29th Floor, New York, NY 10019",234.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
"Thurman J. ""T. J."" Rodgers",Trustee,Dartmouth College,,"Dartmouth 1970 BS; Stanford 1973 MS, 1975 PhD","President and Chief Executive Officer, Cypress Semiconductor Corporation",234.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Peggy Epstein Tanner,Trustee,Dartmouth College,,Dartmouth 1979 AB,,234.0,,,107672454.0,Dartmouth College,182670.0,,,Trustee,True,
Dia S. Weil,Trustee,Depaul University,,,,236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"Rev. Dennis H. Holtschneider, CM",Trustee,Depaul University,,,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Stacy Janiak,Trustee,Depaul University,,DePaul,"Partner, Deloitte & Touche LLP 1633 Broadway, New York, NY 10019",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Jeffrey J. Kroll,Trustee,Depaul University,,,"Partner, Law Offices of Jeffrey J. Kroll 10 South LaSalle Street, Suite 3702, Chicago, IL 60603",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"Rev. James J. Maher, CM",Trustee,Depaul University,,St John's U (NY) BA,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"Rev. Thomas F. McKenna, CM",Trustee,Depaul University,,St John's U (NY) MPhil; Mary Immaculate Sem; Catholic U,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Carla R. Michelotti,Trustee,Depaul University,,"DePaul BA, JD","Executive Vice President, General Counsel and Director, Government Affairs, Leo Burnett Worldwide, Inc35 West Wacker Drive, Chicago, IL 60601",236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Patrick J. Moore,Trustee,Depaul University,,DePaul 1981 BBA,"Chief Executive Officer, Smurfit-Stone Container Corporation (2006-2011)",236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Peter Pesce,Trustee,Depaul University,,,"Executive Vice President, Human Resources, Fifth Third Bancorp",236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Anne R. Pramaggiore,Trustee,Depaul University,,Miami U (OH); DePaul 1989 JD,,236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Lori L. Holland,Trustee,Depaul University,,DePaul; Chicago MBA,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
George Ruff,Trustee,Depaul University,,DePaul BS,"Senior Principal, Trinity Hotel Investors LLC 410 Park Avenue, Suite 430, New York, NY 10022",236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"James T. ""Jim"" Ryan",Trustee,Depaul University,,Miami U (OH) 1980 BSB; DePaul 1987 MBA,"Chairman, President and Chief Executive Officer, W.W. Grainger, Inc100 Grainger Parkway, Lake Forest, IL 60045-5201",236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Bertram L. Scott,Trustee,Depaul University,,DePaul 1980 BA,,236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
John B. Simon,Trustee,Depaul University,,,"Partner, Jenner & Block LLP 353 North Clark Street, Chicago, IL 60654-3456",236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"John C. ""Jack"" Staley, CPA",Trustee,Depaul University,,Col Holy Cross BS; DePaul JD,"Managing Partner, Lake Michigan Area, Ernst & Young cH LLP (1985-2001)",236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Daniel C. Ustian,Trustee,Depaul University,,DePaul 1972 BS,,236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Joanne Velasquez,Vice Chairman,Depaul University,,,"Executive Vice President, Azteca Foods, Inc5005 South Nagle Avenue Summit, Summit-Argo, IL 60501",236.0,,,118353179.0,Depaul University,144740.0,,,Board Vice President,True,
Rev. Mark S. Pranaitis,Trustee,Depaul University,,Benedictine U,,236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"Larry R. Rogers, Sr",Trustee,Depaul University,,St Xavier 1974 BA; DePaul 1983 JD,"Founding Partner, Power, Rogers & Smith, P.C 70 West Madison Street, 55th Floor, Chicago, IL 60602",236.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"The Very Reverend Perry Henry, CM",Trustee,Depaul University,,,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
William E. Hay,Trustee,Depaul University,,,"President, William E. Hay & CoTel: (312) 782-6510 20 South Clark Street, Suite 2305, Chicago, IL 60603",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"Rev. Thomas C. ""Tom"" Anslow",Trustee,Depaul University,,DePaul MPhil: Toronto,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Peter C. Argianas,Trustee,Depaul University,,DePaul 1990,"Chairman, President and Chief Executive Officer, Gold Coast Bank",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Karen M. Atwood,Trustee,Depaul University,,,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Gerald A. Beeson,Trustee,Depaul University,,DePaul 1994 BS; Chicago 1999 MBA,"Chief Operating Officer, Citadel LiC",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
William E. Bennett,Trustee,Depaul University,,Kenyon 1968; Chicago MBA,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
John L. Brennan,Trustee,Depaul University,,,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"Ruth W. Brinkley, RN, FACHE",Trustee,Depaul University,,"DePaul BSN, MSN","President and Chief Executive Officer, KentuckyOne Health",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"Frank M. Clark, Jr",Trustee,Depaul University,,"DePaul BBA, 1976 JD","Chairman and Chief Executive Officer, ComEd Exelon Corporation",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"Curtis J. Crawford, PhD",Trustee,Depaul University,,"Governors State 1972 BA, 1974 MA; DePaul 1978 MBA; Capella U PhD","Founder, President and Chief Executive Officer, XCEO, Inc2901 Tasman Drive, Suite 222, Santa Clara, CA 95054",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Sebastian Cualoping,Trustee,Depaul University,,"DePaul 1977, 1981 MBA","Chief Executive Officer and President, Ampac International, Inc1118 Cedar Street, Fort Wayne, IN 46803",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Connie R. Curran,Trustee,Depaul University,,Northern Illinois 1974 EdD,"President, Curran Associates",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Mary A. Dempsey,Trustee,Depaul University,,St Mary's U (TX) 1975 BA; Illinois 1976 MLS; DePaul 1982 JD,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"Sister Margaret Mary Fitzpatrick, SC",Trustee,Depaul University,,Boston State Col; Fordham; Columbia,"President and Chief Executive Officer, St. Thomas Aquinas College 125 Route 340, Sparkill, NY 10976-1050",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Sasha L. Gerritson,Trustee,Depaul University,,,"Founder, Owner and Chairman and Chief Executive Officer, Flying Food Group, Inc",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Chester A. Gougis,Trustee,Depaul University,,Harvard; Chicago MBA,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Jack M. Greenberg,Trustee,Depaul University,,"DePaul 1964 BSc, 1968 JD","Chairman, McDonald's Corporation (1999-2002)",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Arnold T. Grisham,Trustee,Depaul University,,"DePaul 1970 BS, 1973 MBA","Chairman, Board of Directors, Tri-Valley Bank 2404 San Ramon Valley Blvd., San Ramon, CA 94583",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Richard A. Hanson,Trustee,Depaul University,,,"Principal, Mesa Development LLC 205 North Michigan Avenue, Suite 2200, Chicago, IL 60601",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
"Harry J. Harczak, Jr., CPA",Trustee,Depaul University,,DePaul 1978 BS; Chicago 1995 MBA,"Executive Vice President, CDW Corporation (2006-2007)",235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
Roberto R. Herencia,Trustee,Depaul University,,Georgetown 1981 BSBA; Kellogg 1991 MBA,,235.0,,,118353179.0,Depaul University,144740.0,,,Trustee,True,
James M. Jenness,Chairman,Depaul University,,"DePaul 1969, 1971 MBA","Chairman, Kellogg Company P.O. Box 3599, Battle Creek, MI 49016-3599",235.0,,,118353179.0,Depaul University,144740.0,,,Board President,True,
"Dr. Donna Gentile O'Donnell, Ph.D",Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Denis P. O'Brien,Trustee,Drexel University,,Rutgers; Drexel,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
John A. Nyheim,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Hugh Calvin Long IL!,Trustee,Drexel University,,Virginia Military Inst BA,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Thomas R. Kline,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Joel Koppelman,Trustee,Drexel University,,Drexel 1970,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Joseph H. Jacovini,Trustee,Drexel University,,Holy Cross Col 1962 AB: Harvard 1965 LLB Villanova 1967 MA,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
"Celestino R. ""Chuck"" Pennoni, PE, LS, FASCE",Trustee,Drexel University,,"Drexel 1963 BA, 1966 MS, 1992 PhD",,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
"J. Michael ""Mike"" Lawrie",Trustee,Drexel University,,Ohio 1975 BA: Drexel 1977 MBA,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
D. Howard Pierce,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Stanley W. Silverman,Trustee,Drexel University,,"Drexel 1969 BSChE, 1974 MBA","President, Horizon Venture Group LLC",240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Michael A. Rashid,Trustee,Drexel University,,USC BS; Harvard MBA,"President and Chief Executive Officer, AmeriHealth I Mercy Family of Companies 100 Stevens Drive, Philadelphia, PA 19113 Tel: (215) 937-8000",240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Anthony M. Santomero,Trustee,Drexel University,,Fordham 1968 AB; Brown U 1971 PhD,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
William T. Schleyer,Trustee,Drexel University,,Drexel 1973 BS; Harvard 1977 MBA,Chairman and Chief Executive Officer. Adelphia Communications Corporation (2003-2007),240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Nicholas S. Schorsch,Trustee,Drexel University,,,"Vice Chairman, President and Chief Executive Officer, American Financial Realty Trust 610 Old York Road, Jenkintown, PA 19046 Tel: (215) 887-2280",240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Stephen A. Sheller,Trustee,Drexel University,,"Pennsylvania 1960 BA, 1963 JD",,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Patricia Imbesi,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Manuel N. Stamatakis,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
"Charles K. ""Charlie"" Valutas",Trustee,Drexel University,,Drexel 1973 BS,"Senior Vice President and Chief Administrative Officer, noits: Sunoco, Inc. (2000-2008)",240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Michael P. Williams,Trustee,Drexel University,,"Drexel 1980 BS, 1983 MBA","Executive Advisor, Federal National Mortgage Association 3900 Wisconsin Avenue, NW, Washington, DC 20016 Tel: (202) 752-7000",240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Charles P. Pizzi,Trustee,Drexel University,,La Salle U BBA: Pennsylvania 1998 MS,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
"Mary R. ""Nina"" Henderson",Trustee,Drexel University,,Drexel 1972 BS: NYU MBA,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Brian Ford,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Dominic J. Frederico,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Renee Amoore,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
"Paul M. ""Mel"" Baiada",Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Sally J. Bellet,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
"Gregory S. ""Greg"" Bentley",Trustee,Drexel University,,"Wharton 1976 BS, 1977 MBA","Chairman, President and Chief Executive Officer, Bentley Systems, Incorporated, 685 Stockton Drive, Exton, PA 19341-1136, Tel: (610) 458-5000",240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Christopher R. Booth,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Robert R. Buckley,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Richard A. Greenawalt,Chairman,Drexel University,,Lehigh 1969,,240.0,,,72816309.0,Drexel University,212054.0,,,Board President,True,
Barry C. Burkholder,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Robert L. Byers,Trustee,Drexel University,,"Drexel 1965, 2002","Founder and Chairman, Byers' Choice Ltd, 4355 County Line Road, Chalfont, PA 18914, Tel: (215) 822-6700",240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
The Honorable Ida K. Chen,Trustee,Drexel University,,Temple 1976,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Randall S. Burkert,Trustee,Drexel University,,Drexel 1982,"Regional Director, Hirtle, Callaghan & Co., LLC, Five Tower Bridge, 300 Barr Harbor Drive, Suite 500, West Conshohocken, PA 19428, Tel: (610) 828-7200",240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Abbie Dean,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Nicholas DeBenedictis,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Richard J. DePiano,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Gerianne Tringali DiPiano,Trustee,Drexel University,,St Joseph's U 1992 MBA,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Dominic M. DiPiero III,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
"James B. Dougherty, Jr., Esq",Trusts,Drexel University,,Drexel 1978. 1981 MBA,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Robert J. Drummond,Trustee,Drexel University,,,,240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Kathleen P. Chimicles,Trustee,Drexel University,,,"President and Chief Executive Officer, GlenDevon Group, Inc",240.0,,,72816309.0,Drexel University,212054.0,,,Trustee,True,
Richard V. Riddell,Secretary,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Other Board Member,True,
Robert R. Penn,Trustee,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Clarence G. Newsome,Trustee,Duke University,,,"President, Shaw University (2003-2009",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
David M. Rubenstein,Vice Chairman,Duke University,,Duke 1970; Chicago 1973 JD,"Co-Chief Executive Officer and Co-Founder, The Carlyle Group L.P",243.0,,,170897317.0,Duke University,198419.0,,,Board Vice President,True,
Michael Marsicano,Trustee,Duke University,,"Duke 1977 BS, 1978 MEd. 1982 PhD","President and Chief Executive Officer, Foundation For The Carolinas",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
"Marguerite W. ""Sallee"" Kondracke",Trustee,Duke University,,Duke 1968; Austin Peay State MA,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Elizabeth E. Kiss,Trustee,Duke University,,Davidson 1983 BPhil: Oxford (UK) 1990 DPhil,"President, Agnes Scott College",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Martha L. Monserrate,Trustee,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Dr. Ali Saaem,Trustee,Duke University,,Stevens 2006; Duke 2011 PhD,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
V. Janet Hill,Trustee,Duke University,,Wellesley 1969 BA: Chicago 1972 MA,"Principal, Hill Family Advisors",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Michelle Sohn,Trustee,Duke University,,Duke 2011,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Laurene Sperling,Trustee,Duke University,,Duke 1978; Harvard 1982 MBA,"President, Sperling Family Charitable Foundation",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Susan M. Stalnecker,Trustee,Duke University,,Duke 1973; Wharton 1976 MBA,"Vice President, Global Fixed Cost Infrastructure, E. Idu Pont de Nemours and Company",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Ashley Crowder Stanley,Trustee,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Hardy Vieux,Trustee,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Jeffrey N. Vinik,Trustee,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
"G. Richard ""Rick"" Wagoner, Jr",Chairman,Duke University,,Duke 1975 BA: Harvard 1977 MBA,"Chairman and Chief Executive Officer, General Motors Corporation (2003-2009)",243.0,,,170897317.0,Duke University,198419.0,,,Board President,True,
Hope Morgan Ward,Trustee,Duke University,,"Duke 1973, 1978 MDiv","Bishop, Mississippi Conference, The United Methodist Church",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Bruce A. KarshBritori,Trustee,Duke University,,,"President and Principal, Oaktree Capital Management, L.P333 South Grand Avenue, Los Angeles, CA 90071",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Alan L. Schwartz,Trustee,Duke University,,Duke 1972 BA,"Chairman, President and Chief Executive Officer, Bear Stearns & Co. Inc. (2008)",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Peter J. Kahn,Trustee,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Gerald L. Hassell,Trustee,Duke University,,Duke 1973 BA: Stern 1979 MBA,Chairman. President and Chief Executive Officer. The Bank of New York Mellon Corporation,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Betsy D. Holden,Trustee,Duke University,,Duke 1977 BA: Northwestern 1978 MA: Kellogg 1982 MBA,"Senior Advisor, Mckinsev & Company",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Kenneth W. Hubbard,Trustee,Duke University,,,Executive Vice President. Hines,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Anne T. Bass,Trustee,Duke University,,Smith,"President, Ann T. & Robert M. Bass Foundation",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Richard H. Brodhead,Trustee,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Paula Phillips Burger,Trustee,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Malik Burnett,Trustee,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Paula Hannaway Crown,Trustee,Duke University,,,"Principal, Henry Crown & Company",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Kaveh Danesh,Trustee,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Allyson Kay Duncan,Trustee,Duke University,,Hampton 1972 BA: Duke 1975 JD,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Ralph Eads III,Trustee,Duke University,,Duke 1981,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
"Jack O. Bovender, Jr",Vice Chairman,Duke University,,"Duke 1967 AB, 1969 MHA","Chairman and Chief Executive Officer, HCA Inc(2002-2008)",243.0,,,170897317.0,Duke University,198419.0,,,Board Vice President,True,
Paul E. Farmer,Trustee,Duke University,,,"Executive Vice President, Partners In Health A Nonprofit Corporation",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Robin A. Ferracone,Trustee,Duke University,,Duke 1975 BA: Harvard 1980 MBA,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
Xi-Qing Gao,Trustee,Duke University,,,"President, China Investment Corporation",243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
"Thomas M. Gorrie, PhD",Trustee,Duke University,,"Rutgers 1967 BA; Princeton 1972 MS, PhD",,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
John Harpham,Trustee,Duke University,,,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
"William A. ""Bill"" Hawkins III",Trustee,Duke University,,Duke 1976 BSE; Colgate Darden 1982 MBA,Chairman of the Board. President and Chief Executive Officer. Medtronic. Ine. (2008-2011),243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
"Frank E. Emory, Jr",Trustee,Duke University,,Duke 1979 AB: North Carolina 1982 JD,,243.0,,,170897317.0,Duke University,198419.0,,,Trustee,True,
"Rev. James P. McCloskey, CSSp",Ex Officio Director,Duquesne University,,,,245.0,,,165102784.0,Duquesne University,212106.0,84.0,5541.0,"Director, Ex Officio",True,
Samuel A. Costanzo,Director,Duquesne University,,,"Founder and Chief Executive Director. The Academy Schools
ThE ROBES
900 Agnew Road, Pittsburgh, PA 15227
Tel: (412) 885-5200",245.0,,,165102784.0,Duquesne University,212106.0,70.0,5527.0,Director,True,
"Sister Mary Dacey, SSJ",Director,Duquesne University,,,,245.0,,,165102784.0,Duquesne University,212106.0,71.0,5528.0,Director,True,
The Very Reverend Lawrence A. DiNardo,Ex Officio Director,Duquesne University,,,,245.0,,,165102784.0,Duquesne University,212106.0,72.0,5529.0,"Director, Ex Officio",True,
Charles J. Dougherty,Ex Officio Director,Duquesne University,,,,245.0,,,165102784.0,Duquesne University,212106.0,73.0,5530.0,"Director, Ex Officio",True,
Linda S. Drago,Secretary,Duquesne University,,,,245.0,,,165102784.0,Duquesne University,212106.0,74.0,5531.0,Other Board Member,True,
