Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
David A. Lebow,Trustee,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
"Dr. Thomas R. ""Tom"" Rochon",Chairman,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Board President
Arrien L.C. Schiltkamp,Trustee,Ithaca College,,Clark U 1978 BA,"Chief Executive Officer, Schiltkamp International Consultants. Inc24 West 71st Street, New York, NY 10023",294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Lawrence S. Smith,Trustee,Ithaca College,,Ithaca 1969,"Co-Chief Financial Officer, Comcast Corporation (2002-2007)",294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
"Walter J. Smith, S.J.",Trustee,Ithaca College,,Ithaca 1972,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Kurt J. Wolfgruber,Trustee,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
David Lissy,Trustee,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Lisa B. Puntillo,Trustee,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Christopher LaCroix,Trustee,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Adelaide P. Gomer,Trustee,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Doreen Hettich-Atkins,Trustee,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Michael Kaplan,Trustee,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Lawrence M. Alleva,Trustee,Ithaca College,,,"Partner, PricewaterhouseCoopers",294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
David J. Bachrach,Trustee,Ithaca College,,,"Principal, The Physican Executives Coach Inc",294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Michael A. Battle,Alumni Trustee,Ithaca College,,Ithaca BA; SUNY (Buffalo) JD,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Kathleen M. Darnieder,Trustee,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Richard K. Eaton,Trustee,Ithaca College,,,"Judge, Chambers of Judge Richard K. Eaton, United States Court of International Trade",294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Caroleen A. Feeney,Trustee,Ithaca College,,Ithaca 1986,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Mark Dicker,Trustee,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
W. Kent Fuchs,Trustee,Ithaca College,,,"Provost, Cornell University",294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
David A. Giannotti,Trustee,Ithaca College,,,"Attorney, Gallagher & Gallagher",294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
"Thomas H. ""Tom"" Grape",Trustee,Ithaca College,,,"Chairman and Chief Executive Officer, Benchmark Senior Living LLC",294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Jason Hamilton,Trustee,Ithaca College,,,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
David Fleisher,Trustee,Ithaca College,,Ithaca 1991,,294.0,,,87424562.0,Ithaca College,191968.0,False,,,,Trustee
Lois J. Forbes,Vice Rector,James Madison University,,James Madison 1964,,295.0,,,11883440.0,James Madison University,232423.0,True,,,,Other Board Member
Michael M. Battle,Board Member,James Madison University,,James Madison 1983 MBA,,295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
Pablo Cuevas,Board Member,James Madison University,,,,295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
Ronald C. Devine,Board Member,James Madison University,,James Madison 1978,"President, A&R Foods, Inc6320 Augusta Drive, #1500, Springfield, VA 22150",295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
Barry E. DuVal.!,Board Member,James Madison University,,James Madison 1981,"President and Chief Executive Officer, Virginia of Chamber of Commerce 9 South Fifth Street, Richmond, VA 23219",295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
Susan Allen,Board Member,James Madison University,,James Madison 1983; Colorado (Denver) MBA,"President and Chief Executive Officer, 141 Repellent, Inc",295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
"Carleton S. ""Carly"" Fiorina.b.",Board Member,James Madison University,,Stanford 1976 AB; Maryland 1980 MBA; MIT 1989 SM,"Chairman and Chief Executive Officer, Hewlett-Packard Company (2000-2005)",295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
Joseph K. Funkhouser II,Rector,James Madison University,,,"President, Coldwell Banker Funkhouser Realtors Tel: (540) 434-2400 401 University Boulevard, Harrisonburg, VA 22801",295.0,,,11883440.0,James Madison University,232423.0,True,,,,Other Board Member
Jacob Mosser,Board Member,James Madison University,,,,295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
Donna L. Harper,Secretary,James Madison University,,,,295.0,,,11883440.0,James Madison University,232423.0,True,,,,Other Board Member
Michael M. Thomas,Board Member,James Madison University,,Hampden-Sydney BA; Virginia MA,"Chief Administrative Officer, Thompson Hospitality Corporation 505 Huntmar Park Drive, Suite 350, Herndon, VA 20170",295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
Donald J. Rainey,Board Member,James Madison University,,James Madison 1982 BBA; George Mason MS,"General Partner, Grotech Ventures 8000 Towers Crescent Drive, Suite 850, Vienna, VA 22182",295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
"David A. ""Dave"" Rexrode",Board Member,James Madison University,,,"Executive Director, Republican Party of Virginia 115 East Grace Street, Richmond, VA 23219",295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
"Steven C. ""Steve"" Smith",Board Member,James Madison University,,James Madison 1979 BA,"President and Chief Executive Officer, K-VA-T Food Stores, IncP.O. Box 1158, Abingdon, VA 24212",295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
Leslie F. Gilliam.,Board Member,James Madison University,,,"Vice President, Cumberland Development",295.0,,,11883440.0,James Madison University,232423.0,True,,,,Member
Joseph R. Reynolds,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Terri L. McBride,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Gail J. McGovern,Trustee,Johns Hopkins University,,Johns Hopkins 1974 BA; Columbia 1987 MBA,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Christina Mattin,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
David P. Nolan,Trustee,Johns Hopkins University,,,,,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Ronald M. Nordmann,Trustee,Johns Hopkins University,,Johns Hopkins BA; Fairleigh Dickinson MBA,"Partner, Deerfield Management",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
"Walter D. Pinkard, Jr",Trustee,Johns Hopkins University,,,"President and Chief Executive Officer, Colliers",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Brian C. Rogers,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Westley W. O. Moore,Trustee,Johns Hopkins University,,Johns Hopkins 1971 BA,"Co-President and Chief Risk Officer, Millennium Management LLC",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Marshal L. Salant,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Charles William Scharf,Trustee,Johns Hopkins University,,Johns Hopkins 1987 BA: Stern 1991 MBA,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Dr. Rajendra Singh,Trustee,Johns Hopkins University,,Southern Methodist 1980 PhD,"Chairman and Chief Executive Officer, Telcom Ventures LLC",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Raymond W. Snow,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
"Dr. Selwyn M. Vickers, MD",Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
"William F. Ward, Jr",Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
James L. Winter,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Shirley S. L. Yang,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Howard C. Mandel,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
David M. Rubenstein,Trustee,Johns Hopkins University,,Duke 1970; Chicago 1973 JD,"Co-Chief Executive Officer and Co-Founder, The Carlvle Group L.P",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Christopher E. Louie,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
"Paula E. Boggs, Esq",Trustee,Johns Hopkins University,,Johns Hopkins 1981 BA; UC Berkeley JD,,299.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Roger C. Lipitz,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Maria T. Fazio,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Roger C. Faxon,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Harvey P. Eisen,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Ina R. Drew,Trustee,Johns Hopkins University,,Johns Hopkins BA; Columbia 1979 MIA,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
"Anthony W. ""Tony"" Deering",Trustee,Johns Hopkins University,,,"Chairman, Exeter Capital, LLC",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
"Dr. Ronald Joel ""Ron"" Daniels",Trustee,Johns Hopkins University,,Drexel 1969 BS; Pennsylvania 1971 MBA,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Marjorie M. Fisher,Trustee,Johns Hopkins University,,Johns Hopkins 1984 MA,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
"Dr. N. Anthony ""Tony"" Coles, MD",Trustee,Johns Hopkins University,,,,299.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
"Francis B. ""Frank"" Burch, Jr",Trustee,Johns Hopkins University,,,,299.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Michelle Ann Brown,Trustee,Johns Hopkins University,,Georgetown 1970 AB; Maryland Baltimore 1974 JD,,299.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Abhiram R. Bhashyam,Trustee,Johns Hopkins University,,,,299.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
"Dr. Lenox D. Baker, Jr., MD",Trustee,Johns Hopkins University,,Johns Hopkins 1966 MD,,299.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Janie Elizabeth Bailey,Trustee,Johns Hopkins University,,,,299.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Jeffrey H. Aronson,Trustee,Johns Hopkins University,,,"President, Mid-Atlantic Cardiothoracic Surgeons, Ltd",299.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Charles I. Clarvit,Trustee,Johns Hopkins University,,,"Principal, Quellos Group LLC",299.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Diana C. Liu,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
"Pamela P. ""Pam"" Flaherty",Chairman,Johns Hopkins University,,Smith 1966 BA: Johns Hopkins 1968 MA,"President and Chief Executive Officer, Citigroup Foundation",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Board President
Richard S. Frary,Vice Chairman,Johns Hopkins University,,Johns Hopkins 1969,"President, Tallwood Associates Inc",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Board Vice President
Samuel R. Lichtenstein,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Alexander H. Levi,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Joanne Leedom-Ackerman,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Christopher H. Lee,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Ethan D. Leder,Trustee,Johns Hopkins University,,Johns Hopkins; Georgetown 1987 JD,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Donald A. Kurz,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Louis J. Forster,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Jeong H. Kim,Trustee,Johns Hopkins University,,Johns Hopkins; Maryland PhD,"President, Bell Labs",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Frank L. Hurley,Trustee,Johns Hopkins University,,,"Managing Director and Chief Scientific Officer, RRD International, LLC",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
R. Christopher Hoehn-Saric,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
David C. Hodgson,Trustee,Johns Hopkins University,,Dartmouth 1978 AB; Stanford 1982 MBA,"Managing Director, General Atlantic, LLC",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Lee Meyerhoff Hendler,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Michael D. Hankin,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Taylor A. Hanex,Trustee,Johns Hopkins University,,,,300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Stuart S. Janney III,Trustee,Johns Hopkins University,,North Carolina 1970 BA; Maryland 1973 JD,"Chairman, The Bessemer Group, Incorporated",300.0,,,145311948.0,Johns Hopkins University,162928.0,True,,,,Trustee
Joan Steinberg,Trustee,Juilliard School,,,,301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
Kent A. Clark,Trustee,Juilliard School,,,"Managing Director and Co-Chief Operating Officer, AIMS Group [Chief Investment Officer and Head, AIMS Hedge Fund Strategies], Goldman Sachs Asset Management, L.P85 Broad Street, New York, NY 10004 Tel: (212) 855-9928",301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
Arthur T. Shorin,Chairman,Juilliard School,,,"Chairman and Chief Executive Officer, The Topps Company, Inc. (1980-2008)",301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Board President
John J. Roberts,Trustee,Juilliard School,,Princeton 1945,,301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
Joseph W. Polisi,Vice Chairman,Juilliard School,,,,301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Board Vice President
Katheryn C. Patterson,Trustee,Juilliard School,,,,301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
Elizabeth J. McCormack,Trustee,Juilliard School,,,"Associate, Rockefeller Family & Associates",301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
June Noble Larkin,Trustee,Juilliard School,,Sarah Lawrence 1944,,301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
"J. Christopher ""Chris"" Kojima",Trustee,Juilliard School,,U Manitoba BCom: Cambridge (UK) MPhil: Harvard JD,"Managing Director and Global Head, Alternative Investments and Manager Selection (AIMS) Group, Goldman Sachs Asset Management, LP85 Broad Street, New York, NY 10004",301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
Mary Rodgers Guettel,Trustee,Juilliard School,,"Brearley (New York, NY); Wellesley",,301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
Keith R. Gollust,Trustee,Juilliard School,,Princeton; Carnegie Mellon,,301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
"Dr. Bernard T. ""Bernie"" Ferrari",Trustee,Juilliard School,,,"Dean, Carey Business School, Johns Hopkins University",301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
"Sanford B. ""Sandy"" Ehrenkranz",Trustee,Juilliard School,,,"Senior Partner, Ehrenkranz & Ehrenkranz LLp",301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
Kenneth S. Davidson,Trustee,Juilliard School,,,"Senior Partner, Ehrenkranz & Ehrenkranz LLp",301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
Joan W. Harris,Trustee,Juilliard School,,,"Chairman, Harris Foundation",301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
Julie Anne Choi,Trustee,Juilliard School,,,"Managing Director and Co-Chief Operating Officer, AIMS Group [Chief Investment Officer and Head, AIMS Hedge Fund Strategies], Goldman Sachs Asset Management, L.P85 Broad Street, New York, NY 10004 Tel: (212) 855-9928",301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
Pamela Daley,Trustee,Juilliard School,,Princeton 1974 AB; Pennsylvania 1979 JD,"Senior Vice President, Corporate Business Development, General Electric Company 3135 Easton Turnpike, Fairfield. CT 06828-0001 Tel: (203) 373-2211",301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Trustee
Arthur T. Shorin,Chief Executive Officer,Juilliard School,,,"Chairman and Chief Executive Officer, The Topps Company, Inc. (1980-2008)",301.0,,,51283352.0,Juilliard School,192110.0,False,,,,Other Board Member
Janie Perkins,Regent,Kansas Board Of Regents,,"Newman U 1998 BA, 2000 MA",,306.0,,,,,,,,,,Regent
Dr. Andy Tompkins,Regent,Kansas Board Of Regents,,,,306.0,,,,,,,,,,Regent
Kenny A. Wilk,Regent,Kansas Board Of Regents,,Ottawa U,,306.0,,,,,,,,,,Regent
Dr. Mildred Edwards,Regent,Kansas Board Of Regents,,,,306.0,,,,,,,,,,Regent
"Fred J. Logan, Jr",Vice Chairman,Kansas Board Of Regents,,"Indiana 1974 BA, 1977 JD","Partner, Logan Logan & Watson, L.CCorinth Office Building, 8340 Mission Road, Suite 106, Prairie Village, KS 66206",306.0,,,,,,,,,,Board Vice President
Christine Downey-Schmidt,Regent,Kansas Board Of Regents,,"Wichita State 1980 BA, 1986 MA","Executive Director, African American Affairs Commission, Office of the Governor, State of Kansas",306.0,,,,,,,,,,Regent
Edward McKechnie,Regent,Kansas Board Of Regents,,,"Chief Commercial Officer, WATCO Companies, Inc 315 West Third Street, Pittsburg, KS 66762",306.0,,,,,,,,,,Regent
Robba M. Moran,Regent,Kansas Board Of Regents,,William Jewell; Duke 1983 JD,,306.0,,,,,,,,,,Regent
"R. Daniel ""Dan"" Lykins",Regent,Kansas Board Of Regents,,Kansas State 1968 BA: Washburn 1972 JD,,306.0,,,,,,,,,,Regent
Patricia D. Wellenbach,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Dr. Brennan P. O'Donnell,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
"Kevin M. Stanton, FSC",Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Judith A. Spires,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
James J. Smart,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
"Brother Robert I. Schieler, FSC",Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
William R. Sautter,Chairman,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Board President
Frank C. Palopoli,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
James V. O'Rourke,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Gregory J. Webster,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
James V. Morris,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
"Brother Michael J. McGinniss, FSC",Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Susan M. Barrett,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
"James L. Butler, FSC",Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Diego F. Calderin,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Susan F. Altamore Carusi,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
John M. Daly,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Edward J. Fierko,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Laura Kind McKenna,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Joseph A. Frick,Trustee,La Salle University,,Notre Dame BA; Loyola Col (MD) MBA,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
John T. Fries,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
"Brother James F. Gaffney, FSC",Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Gaetano P. Giordano,Vice Chairman,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Board Vice President
Daniel K. Fitzpatrick,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
"Brother Brian Henderson, FSC",Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
"Elmer F. Hansen, Jr.",Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
William Wilson Matthews II,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
William J. Markmann,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Bernadette M. Mangan,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
"Brother Dennis Malloy, FSC",Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Ralph J. Mauro,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
"Brother Richard Kestler, FSC",Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
William E. Kelly,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Ricardo R. Johnson,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Farah M. Jimenez,Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
"Thomas A. ""Tom"" Leonard, CPA",Trustee,La Salle University,,,,307.0,,,47652572.0,La Salle University,213367.0,False,,,,Trustee
Dennis E. Singleton III,Trustee,Lehigh University,,Lehigh 1966 BS; Harvard 1968 MBA,"Chief Investment Officer, Spieker Properties Inc(1995-1997)",308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Dr. Michael D. Zisman,Trustee,Lehigh University,,"Lehigh 1970; Pennsylvania 1973 MSE, 1977 PhD","President, Wayne Strategy Consultants, Inc",309.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Mark R. Yeager,Trustee,Lehigh University,,Lehigh 1981 BS; Fairleigh Dickinson MA,,309.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Dr. Michael J. Yaszemski,Trustee,Lehigh University,,"Lehigh 1977 BS, 1978 MS; Georgetown 1983 MD; MIT 1995 PhD",,309.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
"John J. Vresics, Jr.",Trustee,Lehigh University,,Lehigh 1981 BS; Pennsylvania 1986 MBA,"Interim Chief Executive Officer, Component Hardware Group (2009)",309.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Karen O'Donnell VanderGoot,Trustee,Lehigh University,,Duke 1999 BA. 2002 MGA,,309.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Ralph Albert Thomas,Trustee,Lehigh University,,"Lehigh 1976 BS, 1977 MBA","Executive Director, New Jersey Society of Certified #2 Public Accountants",309.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Tara I. Stacom,Trustee,Lehigh University,,Lehigh 1980 BS,"Vice Chairman, Brokerage, Cushman & Wakefield, Inc1290 Avenue of the Americas, New York, NY 10104-6178 H",308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
"Daniel E. ""Dan"" Smith, Jr.",Trustee,Lehigh University,,Lehigh 1971 BS: Harvard 1976 MBA,"President and Chief Executive Officer, Sycamore Networks, Inc220 Mill Road, Chelmsford, MA 01824",308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Sarat Sethi,Trustee,Lehigh University,,Lehigh 1992 BS; Harvard 1997 MBA,"Portfolio Manager and Partner, Douglas C. Lane & Associates",308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Philip B. Sheibley,Trustee,Lehigh University,,Lehigh 1981 BS,,308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
J. Stuart Ryan,Trustee,Lehigh University,,Lehigh 1981 BS; Harvard 1986 MBA,,308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
"Vincent A. ""Vince"" Forlenza, Jr.",Trustee,Lehigh University,,Lehigh 1975 BSChE; Wharton 1980 MBA,"Chairman, Chief Executive Officer and President, Becton, Dickinson and Company",308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Dr. Eduardo D. Glandt,Trustee,Lehigh University,,U Buenos Aires (Argentina) 1968 BS; DOR Pennsylvania 1977 PhD,,308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Margaret Erich Goodman,Trustee,Lehigh University,,Lehigh 1980 BS,,308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Daniel Haime,Trustee,Lehigh University,,Lehigh 1982 BS,,308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Dr. John R. Delaney,Trustee,Lehigh University,,"Virginia 1964 BA, 1967 MA; Arizona 1977 PhD",,308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
Kevin L. Clayton,Vice Chairman,Lehigh University,,Lehigh 1984 BA; St Joseph's U 1988 MBA,,308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Board Vice President
Maria L. Chrin,Trustee,Lehigh University,,Lehigh 1980 BS,,308.0,,,186143895.0,Lehigh University,213543.0,True,,,,Trustee
