Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
Arrien L. Schiltkamp,Trustee,Clark University,,,"Chief Executive Officer, Schiltkamp International Consultants, Inc24 West 71st Street, New York, NY 10023 Tel: (212) 579-4700",,,,,130785548.0,165334.0,True,,,,Trustee
Virginia Sapiro,Trustee,Clark University,,"Clark UAB; Michigan MA, PhD",,,,,,130785548.0,165334.0,True,,,,Trustee
Lauren Stiller Rikleen,Trustee,Clark University,,Brandeis 1975 BA; Boston Col 1979 JD,,,,,,130785548.0,165334.0,True,,,,Trustee
David H. Strassler,Trustee,Clark University,,,,,,,,130785548.0,165334.0,True,,,,Trustee
George DiRado,Trustee,Clark University,,,,,,,,130785548.0,165334.0,True,,,,Trustee
Lawrence M. Hershoff,Trustee,Clark University,,,,,,,,130785548.0,165334.0,True,,,,Trustee
"Sumner B. Tilton, Jr",Trustee,Clark University,,,,,,,,130785548.0,165334.0,True,,,,Trustee
James T. Milde,Trustee,Clarkson University,,St Lawrence 1982 BA; Clarkson U 1983 MBA,,,,,,16944753.0,190044.0,True,,,,Trustee
Raymond A. Meier,Trustee,Clarkson University,,"Syracuse 1974 BA, 1976 JD","Co-Chair, Administrative/Legislative/Regulatory,Bond. Schoeneck & King, PLLCOne Lincoln Center, Syracuse, NY 13202-1355Tel: (315) 218-8108",,,,,16944753.0,190044.0,True,,,,Trustee
"Earl R. ""Skip"" Lewis",Trustee,Clarkson University,,Clarkson Col 1966 BS,"Chairman, President and Chief Executive Officer,FLIR Systems, Inc27700A SW Parkway Avenue, Wilsonville, OR 97070 7 20 harneTel: (503) 498-3547",,,,,16944753.0,190044.0,True,,,,Trustee
Georgia Keresty,Trustee,Clarkson University,,"Clarkson U 1983; Ramapo 1985; Pace 1988 MSA;Rutgers 1992 MBA, 1998 PhD",,,,,,16944753.0,190044.0,True,,,,Trustee
"John B. Johnson, Jr.",Trustee,Clarkson University,,,"Editor and Co-Publisher, Watertown Daily Times oneti",,,,,16944753.0,190044.0,True,,,,Trustee
William F. Helmer,Trustee,Clarkson University,,Clarkson U 1956,"President, Helmer-Cronin Construction, InciDia TO",,,,,16944753.0,190044.0,True,,,,Trustee
Dianna Jones Herrmann,Trustee,Clarkson University,,,"Partner, Gibson, Dunn & Crutcher LLP333 South Grand Avenue, Los Angeles, CA 90071-3197",,,,,16944753.0,190044.0,True,,,,Trustee
Everett G. Foster,Chairman,Clarkson University,,Colgate BS; Boston U MBA,"Managing Director, RBC Dain Rauscher Inc60 South Sixth Street, Minneapolis, MN 55402-4422 msiogisbralo di",,,,,16944753.0,190044.0,True,,,,Board President
Terry L. Brown,Trustee,Clarkson University,,Clarkson U 1972 BS,"Chairman and Chief Executive Officer, O'Brien & Gere Inc5000 Brittonfield Parkway, East Syracuse, NY 13057",,,,,16944753.0,190044.0,True,,,,Trustee
Frank R. Schmeler,Trustee,Clarkson University,,Clarkson U 1964 BA,"Chairman, Albany International Corp. (2006-2008)",,,,,16944753.0,190044.0,True,,,,Trustee
Richard R. Griffith,Trustee,Clarkson University,,,"President, Sturges Manufacturing, Inc2030 Sunset Avenue, Utica, NY 13502Tel: (315) 732-6159",,,,,16944753.0,190044.0,True,,,,Trustee
Kevin T. Parker,Trustee,Clarkson University,,Clarkson U 1981 BS,"President and Chief Executive Officer, DeltekSystems, Inc 13880 Dulles Corner Lane, Herndon, VA 20171 sadAoM pr",,,,,16944753.0,190044.0,True,,,,Trustee
"Michael E. ""Mike"" Jesanis",Trustee,Clarkson University,,"Clarkson U 1978 BS, 1979 MS; Wharton 1983 MBA","Principal, Serrafix Corporation65 East India Row, Suite 2D, Boston, MA 02110Tel: (877) 737-7239",,,,,16944753.0,190044.0,True,,,,Trustee
W. Hollis Petersen,Trustee,Clarkson University,,,,,,,,16944753.0,190044.0,True,,,,Trustee
John R. Laing,Trustee,Clarkson University,,Toronto BS; Chicago PhD,"Senior Vice President, Xerox Corporation 102 fro",,,,,16944753.0,190044.0,True,,,,Trustee
Scott D. Smith,Trustee,Clarkson University,,Clarkson U 1983 BS,"President, Global Sales and Marketing, ModusLinkCorporation1100 Winter Street, Suite 4600, Waltham, MA 02451 slasBTel: (781) 663-5000",,,,,16944753.0,190044.0,True,,,,Trustee
Daniel C. Heintzelman,Trustee,Clarkson University,,Clarkson U 1979,"Senior Vice President, Energy Services, GE Energy am list4200 Wildwood Parkway, Atlanta, GA 30339vasint toniO inscagolovstTel: (678) 844-6000",,,,,16944753.0,190044.0,True,,,,Trustee
Steven M. Tritman,Trustee,Clarkson University,,Clarkson U 1968,,,,,,16944753.0,190044.0,True,,,,Trustee
James F. Wood,Trustee,Clarkson University,,Clarkson U 1964,"President and Chief Executive Officer, Babcock Power Inc",,,,,16944753.0,190044.0,True,,,,Trustee
Elizabeth A. Fessenden,Trustee,Clarkson University,,"Clarkson U BSEE, MBA, MS","Principal, American Capital Strategies, Ltd19vO",,,,,16944753.0,190044.0,True,,,,Trustee
David A. Taylor,Trustee,Clarkson University,,,"Director, Player Personnel, Dallas Stars, L.P2601 Avenue of the Stars, Frisco, TX 75034",,,,,16944753.0,190044.0,True,,,,Trustee
Lawrence J. Delaney,Trustee,Clarkson University,,Clarkson U 1957,"Executive Vice President, Operations, The Titan Corporation (2004-2006)",,,,,16944753.0,190044.0,True,,,,Trustee
Mary Kay Woods,Trustee,Clarkson University,,Clarkson U 1982,"Partner, KPMG LLP345 Park Avenue, New York, NY 10154-0102",,,,,16944753.0,190044.0,True,,,,Trustee
Charles R. Craig,Trustee,Clarkson University,,Dickinson Col BS; Minnesota,,,,,,16944753.0,190044.0,True,,,,Trustee
Anthony G. Collins,Ex Officio Trustee,Clarkson University,,,,,,,,16944753.0,190044.0,True,,,,"Trustee, Ex Officio"
"Bayard D. Clarkson, Sr., M.D.",Trustee,Clarkson University,,Yale 1948 BA; Columbia 1952 MD,,,,,,16944753.0,190044.0,True,,,,Trustee
Karel K. Czanderna',Trustee,Clarkson University,,,,,,,,16944753.0,190044.0,True,,,,Trustee
Jean E. Spence,Trustee,Clarkson University,,Clarkson U 1979 BS; Manhattan Col MB M amogA nom,"Executive Vice President, Global Technology and of O Ouality, Kraft Foods IncThree Lakes Drive, Northfield, IL 60093-2753Tel: (847) 646-2000",,,,,16944753.0,190044.0,True,,,,Trustee
"Bayard D. Clarkson, Jr",Trustee,Clarkson University,,Harvard BS; Boston U MD,,,,,,16944753.0,190044.0,True,,,,Trustee
Jason R. Currie,Trustee,Clarkson University,,"Clarkson U 1977 BS; Cornell 1981 MS, 1984 PhD",,,,,,16944753.0,190044.0,True,,,,Trustee
Irvine T. Welling III,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Lawrence L. Weathers,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
James T. Vaughn,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
R. S. Tompkins,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Joseph F. Thompson,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
David G. Suggs,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Doug Harper,Board Member,Clemson University,,,"President, Harper Corporation 35 West Court Street, Suite 400, Greenville, SC 29601 Tel: (864) 527-2500",,,,,8078737.0,217882.0,True,,,,Member
"Michael K. ""Mike"" Drakeford",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Steve Dudash,Board Member,Clemson University,,,"Partner, Design Works 50 George Street, Charleston, SC 29401 Patrick A. ""Pat"" Duncan Tel: (843) 723-5525",,,,,8078737.0,217882.0,True,,,,Member
"Steven ""Steve"" Epps, Jr",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"Marshall White, Jr",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Robert W. Shepard,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Kim Wilkerson,Board Member,Clemson University,,,"President, Bank of America South Carolina, Bank of America Corporation, 100 North Tryon Street, Charlotte, NC 28255, Tel: (803) 255-7476",,,,,8078737.0,217882.0,True,,,,Member
Joseph D. Schofield III,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"T. B. ""Bruce"" Harper",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Todd F. Swygert,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Thomas P. McMeekin,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
E. Guy Hendrix,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"F. K. ""Kin"" Hill, Jr",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"Neil C. Robinson, Jr.",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Mary Joy Pizzella,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"James G. Padgett, Jr",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"David S. Merritt, Jr.",Board Member,Clemson University,,,"Associate Administrator, Office of Citizens Services and Communications, United States General Services Administration",,,,,8078737.0,217882.0,True,,,,Member
James Bryan Fuller,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Austin Gore,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"Daniel E. ""Dan"" McNiel",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Marsha Harper,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Julie Godshall Brown,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"William Philip ""Phil"" Bradley",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Eleanor H. Mann,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
James G. Taylor,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Thomas Andrew Sherard,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Melissa Cooke Lloyd,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
C. Diane Smock,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Anne Lucious Kleitches,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"Leonard L. ""Len"" Hutchinson",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Lewis F. Holmes III,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
John M.S. Hoefer,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Tom B. LaRoche,Board Member,Clemson University,,,"Executive Vice President and Chief Administrative Officer, Davis & Floyd P.O. Box 61599, North Charleston, SC 29419 Tel: (843) 554-8602",,,,,8078737.0,217882.0,True,,,,Member
"Samuel ""Sam"" Dozier",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
C. Green DesChamps I,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
William E. Williams III,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"Raymond H. ""Ray"" Anderson, Jr",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"William H. ""Bill"" Burton",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Sterling W. Beckman,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"William H. ""Billy"" Davis, Jr",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Walter Dantzler,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"James P. ""Jim"" Creel, Jr",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Louis P. Batson III,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"John L. Cote, Jr",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"Jack W. Carter, Jr",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"James R. ""Jay"" Courie",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Darryl C. Caldwell,Board Member,Clemson University,,Clemson 1991 BS; North Carolina Central 1999 JD,"Attorney, Duff, White & Boykin, Lic 3700 Forest Drive, Suite 404, Columbia, SC 29204",,,,,8078737.0,217882.0,True,,,,Member
"James A. ""Jim"" Bull IV",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"Michael J. ""Mike"" Maxwell",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"Berry Kenneth ""Ken"" Bolt",Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
Chalmers R. Carr III,Board Member,Clemson University,,,,,,,,8078737.0,217882.0,True,,,,Member
"Robert H. Rawson, Jr.",Vice Chairman,Cleveland State University,,,"Partner-in-Charge, Cleveland, OH Office, Jones Day",,,,,102607778.0,202134.0,True,,,University System of Ohio,Board Vice President
Morton Q. Levin,Trustee,Cleveland State University,,,,,,,,102607778.0,202134.0,True,,,University System of Ohio,Trustee
Sonali B. Wilson,Secretary,Cleveland State University,,,,,,,,102607778.0,202134.0,True,,,University System of Ohio,Other Board Member
"Ernest L. Wilkerson, Jr.",Trustee,Cleveland State University,,,,,,,,102607778.0,202134.0,True,,,University System of Ohio,Trustee
Ronald E. Weinberg,Chairman,Cleveland State University,,,"Chairman and Chief Executive Officer, Hawk Corporation 200 Public Square 1500, Cleveland, OH 44114 Tel: (216) 861-3553",,,,,102607778.0,202134.0,True,,,University System of Ohio,Board President
Dan T. Moore III,Trustee,Cleveland State University,,Harvard 1966 MBA,"President and Owner, The Dan T. Moore Company",,,,,102607778.0,202134.0,True,,,University System of Ohio,Trustee
Richard A. Barone,Community Board Member,Cleveland State University,,,,,,,,102607778.0,202134.0,True,,,University System of Ohio,Trustee
Joyce Mastboom,Faculty Representative,Cleveland State University,,,,,,,,102607778.0,202134.0,True,,,University System of Ohio,Other Board Member
Stephanie McHenry,Treasurer,Cleveland State University,,,,,,,,102607778.0,202134.0,True,,,University System of Ohio,Other Board Member
Sally Florkiewicz,Trustee,Cleveland State University,,,,,,,,102607778.0,202134.0,True,,,University System of Ohio,Trustee
Rev. Marvin A. McMickle,Trustee,Cleveland State University,,,,,,,,102607778.0,202134.0,True,,,University System of Ohio,Trustee
Samuel H. Miller,Trustee,Cleveland State University,,,,,,,,102607778.0,202134.0,True,,,University System of Ohio,Trustee
Sheldon Gelman,Faculty Representative,Cleveland State University,,,,,,,,102607778.0,202134.0,True,,,University System of Ohio,Other Board Member
Valerie Hopkins,Student Representative,College Of William And Mary,,,,,,,,16285277.0,231624.0,True,,,,Other Board Member
Timothy P. Dunn,Board Member,College Of William And Mary,,Education: William & Mary 1983; Northeastern 1985,"Affiliation: Chairman, Intelliden Corporation",,,,,16285277.0,231624.0,True,,,,Member
"Charles A. ""Charlie"" Banks",Board Member,College Of William And Mary,,Brown 1962 AB,"Principal, Clayton, Dubilier & Rice, Inc375 Park Avenue, 18th Floor, New York, NY 10152-1899",,,,,16285277.0,231624.0,True,,,,Member
Katherine M. Kulick,Faculty Representative,College Of William And Mary,,,,,,,,16285277.0,231624.0,True,,,,Other Board Member
Alexandra Duckworth,Faculty Representative,College Of William And Mary,,Education: Guilford Col AB; William & Mary MA,,,,,,16285277.0,231624.0,True,,,,Other Board Member
The Honorable John Charles Thomas,Board Member,College Of William And Mary,,"Education: Virginia 1972 BA, 1975 JD","Affiliation: Partner, Hunton & Williams LLP Riverfront Plaza, 951 East Byrd Street, East Tower, Richmond, VA 23219-4074 Tel: (804) 788-8522",,,,,16285277.0,231624.0,True,,,,Member
Barbara B. Ukrop,Board Member,College Of William And Mary,,Education: William & Mary 1961 BA,,,,,,16285277.0,231624.0,True,,,,Member
Justin Reid,Student Representative,College Of William And Mary,,,,,,,,16285277.0,231624.0,True,,,,Other Board Member
Anita O. Poston,Board Member,College Of William And Mary,,Education: Maryland 1971 BS; William & Mary 1974 JD,"Affiliation: Partner, Vandeventer Black LLP",,,,,16285277.0,231624.0,True,,,,Member
Jeffrey B. Trammell,Board Member,College Of William And Mary,,Education: William & Mary 1973 BA; Florida State 1977 JD,"Affiliation: President, Trammell and Company 1220 19th Street, NW, Suite 804, Washington, DC 20036 Tel: (202) 223-3305",,,,,16285277.0,231624.0,True,,,,Member
Kathy Hornsby,Board Member,College Of William And Mary,,Education: William & Mary 1979,"Affiliation: Co-Founder, Williamsburg Land Conservancy",,,,,16285277.0,231624.0,True,,,,Member
Michael K. Powell,Rector,College Of William And Mary,,Education: William & Mary 1985 AB; Georgetown 1993 JD,"Affiliation: Senior Advisor, Providence Equity Partners, Inc1050 Connecticut Avenue, NW, Suite 1250, Washington, DC 20036 Tel: (202) 828-7824",,,,,16285277.0,231624.0,True,,,,Other Board Member
Janet M. Brashear,Board Member,College Of William And Mary,,William & Mary 1982 BA; Harvard 1987 MBA,,,,,,16285277.0,231624.0,True,,,,Member
Colin G. Campbell,Board Member,College Of William And Mary,,Cornell 1957 AB; Columbia 1960 JD (continued on next page),"President and Chief Executive Officer, The Colonial Williamsburg FoundationP.O. Box 1776, Williamsburg, VA 23187-1776",,,,,16285277.0,231624.0,True,,,,Member
John W. Gerdelman,Board Member,College Of William And Mary,,,"Career: Chairman and Chief Executive Officer, Dominion",,,,,16285277.0,231624.0,True,,,,Member
Thomas ECapps,Board Member,College Of William And Mary,,"Education: North Carolina 1958 AB, 1965 JD",,,,,,16285277.0,231624.0,True,,,,Member
Richard Philip Herget III,Board Member,College Of William And Mary,,,"Affiliation: Partner, Columbia Capital",,,,,16285277.0,231624.0,True,,,,Member
Sarah I. Gore,Board Member,College Of William And Mary,,Education: William & Mary 1956 BA; Delaware 1975 MS,"Career: Global Leader, Human Resources, W.L. Gore & Associates, Inc",,,,,16285277.0,231624.0,True,,,,Member
Suzann W. Matthews,Secretary,College Of William And Mary,,Education: William & Mary 1971 BA,,,,,,16285277.0,231624.0,True,,,,Other Board Member
Frank DeFilippo,Trustee,Colorado School Of Mines,,,"Partner, DeFilippo, Rees, Robinette LLC 1675 Broadway, Suite 2440, Denver, CO 80202",,,,,167576493.0,126775.0,True,,,,Trustee
Amy Dubetz,Student Trustee,Colorado School Of Mines,,,,,,,,167576493.0,126775.0,True,,,,Trustee
James R. Spaanstra,Trustee,Colorado School Of Mines,,Grand Valley State 1974 BS; Michigan 1977 JD,"Partner, Faegre & Benson LLP 3200 Wells Fargo Center, 1700 Lincoln Street, Denver, CO 80203",,,,,167576493.0,126775.0,True,,,,Trustee
DeAnn Craig,Trustee,Colorado School Of Mines,,"Colorado Mines 1973 BSc, 1980 BSc, 2002 MSc, 2005 PhD; Regis U MBA",,,,,,167576493.0,126775.0,True,,,,Trustee
Michael S. Nyikos,Chairman,Colorado School Of Mines,,New Mexico Highlands; Michigan PhD,,,,,,167576493.0,126775.0,True,,,,Board President
John Dorgan,Faculty Trustee,Colorado School Of Mines,,,,,,,,167576493.0,126775.0,True,,,,Trustee
L. Roger Hutson,Vice Chairman,Colorado School Of Mines,,Colorado Mines 1982,"Owner, Paladin Energy Partners, LLC",,,,,167576493.0,126775.0,True,,,,Board Vice President
Vicki Cowart,Trustee,Colorado School Of Mines,,Worcester Polytech BS; Colorado Mines MS,,,,,,167576493.0,126775.0,True,,,,Trustee
Christopher J. Williams,Trustee,Columbia University,Teachers College,Howard U BA; Dartmouth 1984 MBA,,,,,,78577930.0,190150.0,True,,,,Trustee
Bruce Wilcox,Trustee,Columbia University,Teachers College,,"Chairman, Cumberland Associates LiC 1114 Avenue of the Americas, New York, NY 10036 Education: UC Santa Barbara BA",,,,,78577930.0,190150.0,True,,,,Trustee
Marjorie L. Hart,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Stephen H. Case,Trustee,Columbia University,,,"Partner, Davis Polk & Wardwell 450 Lexington Ave., New York, NY 10017 Tel: (212) 450-4064 Education: Columbia 1964 BA, 1968 JD",,,,,78577930.0,190150.0,True,,,,Trustee
"John W. Hyland, Jr",Co-Chairman,Columbia University,Teachers College,Williams BA; Harvard 1961 MBA,,,,,,78577930.0,190150.0,True,,,,Board President
Lorraine Monroe,Trustee,Columbia University,Teachers College,Manhattanville BA,,,,,,78577930.0,190150.0,True,,,,Trustee
Kyriakos Tsakopoulos,Trustee,Columbia University,,,"Executive Vice President and General Counsel, AKT Development Corporation",,,,,78577930.0,190150.0,True,,,,Trustee
Marla Schaefer,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Richard E. Witten,Vice Chairman,Columbia University,,Harvard 1978 JD,,,,,,78577930.0,190150.0,True,,,,Board Vice President
Gillian Neukom Toledo,Trustee,Columbia University,Teachers College,U Puget Sound 1994,,,,,,78577930.0,190150.0,True,,,,Trustee
Vikram S. Pandit *,Trustee,Columbia University,,"Chief Executive Officer, Executive Committee, Citigroup Inc399 Park Avenue, New York, NY 10022",,,,,,78577930.0,190150.0,True,,,,Trustee
John Merrow,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Mrs. Daniel Cowin,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
A'Lelia Bundles,Trustee,Columbia University,,,,,,,,78577930.0,190150.0,True,,,,Trustee
Ruth L. Gottesman,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
James W.B. Benkard,Trustee,Columbia University,Teachers College,Harvard 1959 BA; Columbia 1963 LLB,,,,,,78577930.0,190150.0,True,,,,Trustee
Cory A. Booker,Trustee,Columbia University,Teachers College,Stanford 1991 BA. 1992 MA: Yale 1997 JD,"Mayor, Office of the Mayor, City of Newark, New Jersey",,,,,78577930.0,190150.0,True,,,,Trustee
James P. Comer,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Esta E. Stecher,Trustee,Columbia University,,Minnesota 1979 BA: Columbia 1982 JD,"Executive Vice President, General Counsel and Secretary, The Goldman Sachs Group, Inc85 Broad Street, New York, NY 10004",,,,,78577930.0,190150.0,True,,,,Trustee
Dawn Duques,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Armen A. Avanessians,Trustee,Columbia University,,,,,,,,78577930.0,190150.0,True,,,,Trustee
Antonia Munroe Grumbach,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Julie Leff,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Patricia Green,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Eduardo J. Marti,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Joan E. Spero,Vice Chairman,Columbia University,,"Wisconsin 1966 BA; Columbia 1968 MIA, 1973 PhD",President. Doris Duke Charitable Foundation (Note: Until December 2008.),,,,,78577930.0,190150.0,True,,,,Board Vice President
Clyde Y.C. Wu,Trustee,Columbia University,,Johns Hopkins 1952 BA; Columbia 1956 MD,"Associate Clinical Professor, School of Medicine, Wayne State University 15400 Michigan, Ste. 1, Detroit, MI 48126",,,,,78577930.0,190150.0,True,,,,Trustee
Faye Wattleton,Trustee,Columbia University,,,"President, Center for the Advancement of Women 25 West 43rd Street, Suite 1120, New York, NY 10036",,,,,78577930.0,190150.0,True,,,,Trustee
Marilyn Laurie,Vice Chairman,Columbia University,,Barnard 1959 BA; Pace 1975 MBA,,,,,,78577930.0,190150.0,True,,,,Board Vice President
Sue Ann Weinberg,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Jan Krukowski,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Lee C. Bollinger,Trustee,Columbia University,,,,,,,,78577930.0,190150.0,True,,,,Trustee
Steven R. Wechsler,Trustee,Columbia University,Teachers College,,"Senior Managing Director, Tishman Speyer Properties 45 Rockefeller Plaza, New York, NY 10111 Tel: (212) 715-0300 Education: SUNY (Buffalo) 1970; Columbia 1972 MBA",,,,,78577930.0,190150.0,True,,,,Trustee
Jose A. Cabranes,Trustee,Columbia University,,,"Circuit Judge (I), United States Court of Appeals for the Second Circuit U.S. Courthouse, 141 Church Street, New Haven, CT 06510-2030 Education: Columbia 1961 AB; Yale 1965 JD; Cambridge (UK) 1967 MLitt",,,,,78577930.0,190150.0,True,,,,Trustee
"Harold F. ""Gerry"" Lenfest",Trustee,Columbia University,,,President. Lenfest Communications,,,,,78577930.0,190150.0,True,,,,Trustee
John Klingenstein,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
"William V. Campbell, JrI.?",Chairman,Columbia University,,,"Chairman of the Board, Intuit Inc P.O. Box 7850, Mountain View, CA 94039-7850 Tel: (650) 944-6000 Education: Columbia 1962 BA. MS",,,,,78577930.0,190150.0,True,,,,Board President
"E. John Rosenwald, Jr.",Trustee,Columbia University,Teachers College,"Dartmouth 1952 AB, 1953 MBA",,,,,,78577930.0,190150.0,True,,,,Trustee
William D. Rueckert,Co-Chairman,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Board President
Enid W. Morse,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Abby M. O'Neill,Trustee,Columbia University,Teachers College,Bradford,,,,,,78577930.0,190150.0,True,,,,Trustee
Laurie M. Tisch,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Jay P. Urwitz,Trustee,Columbia University,Teachers College,"SUNY (Binghamton) 1970 BA; Harvard 1974 MPP, 1974 JD",,,,,,78577930.0,190150.0,True,,,,Trustee
Philip L. Milstein,Vice Chairman,Columbia University,,,,,,,,78577930.0,190150.0,True,,,,Board Vice President
Mark E. Kingdon,Trustee,Columbia University,,,"President, Kingdon Capital Management LLC",,,,,78577930.0,190150.0,True,,,,Trustee
Ann F. Kaplan,Trustee,Columbia University,,,"Chairman, Circle Financial Group 650 Madison Avenue, 17th Floor, New York, NY 10022 Education: Smith 1967 BA; Columbia 1972 MS, 1977 MBA",,,,,78577930.0,190150.0,True,,,,Trustee
"Eric H. Holder, Jr",Trustee,Columbia University,,"Columbia 1973 BA, 1976 JD",,,,,,78577930.0,190150.0,True,,,,Trustee
Savio W. Tung,Trustee,Columbia University,,Columbia 1973 BS,"Member, Management Committee, InvestcorP ulcowwwInternational, IncWestg Bldg., 280 Park Ave., 37th Fl., New York, NY 10017 NEVA A nariA isprillo8 .3 so.J",,,,,78577930.0,190150.0,True,,,,Trustee
Ellen Oran Kaden,Trustee,Columbia University,,,"Senior Vice President, Law and Government Affairs, Campbell Soup Company Campbell Place, Camden, NJ 08103-1799 Tel: (856) 342-6125 Education: Cornell 1972 BA; Chicago 1973 MA; Columbia 1977 JD",,,,,78577930.0,190150.0,True,,,,Trustee
Elliot S. Jaffe,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
Kenneth A. Forde,Trustee,Columbia University,,CCNY; Columbia 1959 MD,"Jose M. Ferrer Chair in Surgery, Columbia University (1997-2006)",,,,,78577930.0,190150.0,True,,,,Trustee
Dailey Pattee,Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
"Claude A. Mayberry, Jr",Trustee,Columbia University,Teachers College,,,,,,,78577930.0,190150.0,True,,,,Trustee
